1,"[0.01999998651444912, 2.1085142520860245e-08, 2.183020164636673e-08, 3.226101341624599e-08, 2.8535724894140913e-08, 1.2144446337458703e-08, 1.6614794873248684e-08, 3.151595606709634e-08, 1.1868775118273334e-07, 0.019997617229819298, 0.019998988136649132, 0.019998770207166672, 4.66629870743418e-07, 7.174909200102775e-08, 3.59863037147079e-08, 3.5241246365558254e-08, 9.037554349333732e-08, 0.019999930635094643, 0.01999996043741703, 0.019999908283352852, 4.6417117260943996e-08, 1.3135374388184573e-07, 1.6860664686646487e-07, 2.1405517713901645e-07, 2.587586607205594e-07, 2.945214419014519e-07, 3.243237642891472e-07, 3.5114587149109866e-07, 3.8988889627944445e-07, 4.204362653581484e-07, 4.5470895315702364e-07, 4.845112471230095e-07, 5.06862988913781e-07, 5.128234761286876e-07, 5.001574550078658e-07, 5.180388598091668e-07, 7.586926358271739e-07, 4.442259523784742e-06, 0.019998254254460335, 0.01998009718954563, 5.590170530922478e-07, 7.236749297589995e-07, 9.993464118451811e-07, 7.594376825181826e-07, 1.2362748975647264e-06, 1.1662393717415398e-06, 1.5231222505462938e-06, 9.844452506513335e-07, 1.0142475730390288e-06, 2.096071966661839e-06, 0.01999436691403389, 2.4957433197414503e-05, 1.997724211832974e-06, 1.2966245321877068e-06, 9.248406058759429e-07, 1.5939027662170702e-06, 2.4291127829201287e-06, 0.019999025389552116, 0.019999532029032707, 3.671124659376801e-06]"
1,"[0.027636557817459106, -0.009922787547111511, -0.01001229602843523, -0.009838330559432507, -0.009967734105885029, -0.009684687480330467, -0.009964581578969955, -0.009956368245184422, -0.008584968745708466, 0.012620843946933746, 0.01274748332798481, 0.012881792150437832, -0.008407716639339924, -0.009444466792047024, -0.009550545364618301, -0.00957996491342783, -0.00913303717970848, 0.028017466887831688, 0.029933087527751923, 0.02762194722890854, -0.009658601135015488, -0.009573454037308693, -0.008603514172136784, 0.0035839069169014692, 0.0004957602359354496, -0.00555565906688571, -0.00859664473682642, -0.009480194188654423, -0.009923892095685005, -0.007522702217102051, -0.0065330094657838345, -0.005037841387093067, -0.008572038263082504, -0.007924111559987068, -0.007845581509172916, -0.007859857752919197, -0.0077531710267066956, -0.007487199734896421, 0.012659247033298016, 0.012544633820652962, -0.0075811175629496574, -0.007572871632874012, -0.008000489324331284, 0.006897164508700371, 0.007271317765116692, -0.007707924582064152, 0.006090268958359957, -0.00786989089101553, -0.008495238609611988, 0.006764856167137623, 0.027548596262931824, -0.0074597690254449844, 0.006134208291769028, -0.007938041351735592, -0.009154843166470528, -0.008483976125717163, -0.008769512176513672, 0.017157822847366333, 0.016857078298926353, -0.0066965254954993725]"
1,"[0.03372221440076828, -0.01759314350783825, -0.017751842737197876, -0.01744340918958187, -0.017672838643193245, -0.0171709842979908, -0.017667241394519806, -0.017652688547968864, -0.01522126141935587, 0.005311989225447178, 0.005973904859274626, 0.007727487478405237, -0.014907251112163067, -0.01674511656165123, -0.016933167353272438, -0.016985328868031502, -0.01619296334683895, 0.03689037635922432, 0.039889413863420486, 0.03596808761358261, -0.017124757170677185, -0.01697384938597679, -0.01525415200740099, 0.0011338311014696956, -0.004741967655718327, -0.009850387461483479, -0.015242061577737331, -0.016808651387691498, -0.017595337703824043, -0.013338020071387291, -0.011583322659134865, -0.00893242284655571, -0.015198620036244392, -0.014049861580133438, -0.013910618610680103, -0.013935943134129047, -0.013746974058449268, -0.013278253376483917, 0.0070053390227258205, 0.00710308039560914, -0.013441773131489754, -0.013427279889583588, -0.014185645617544651, 0.013698471710085869, 0.011896626092493534, -0.013667065650224686, 0.013962182216346264, -0.013954087160527706, -0.015062829479575157, 0.0074882470071315765, 0.028512515127658844, -0.01324545405805111, 0.011749624274671078, -0.01407515350729227, -0.016232213005423546, -0.015043288469314575, -0.015550128184258938, 0.015337018296122551, 0.010593799874186516, -0.011875191703438759]"
2,"[0.039148472249507904, -0.02387622930109501, -0.024091605097055435, -0.023673024028539658, -0.023984389379620552, -0.023303302004933357, -0.02397678792476654, -0.023957043886184692, -0.020657304674386978, -0.0029130689799785614, -0.0015456744004040956, 0.00317966821603477, -0.02023126371204853, -0.022725360468029976, -0.02298055961728096, -0.023051349446177483, -0.02197602204978466, 0.04608139023184776, 0.049595169723033905, 0.044642124325037, -0.023240573704242706, -0.023035794496536255, -0.020701926201581955, -0.003996131010353565, -0.009032384492456913, -0.013368340209126472, -0.020685536786913872, -0.022811654955148697, -0.0238792821764946, -0.01810152269899845, -0.015720181167125702, -0.012122586369514465, -0.020626699551939964, -0.01906769722700119, -0.018878724426031113, -0.01891309954226017, -0.01865672878921032, -0.018021928146481514, 0.0025542485527694225, 0.0026185475289821625, -0.01824246346950531, -0.018222853541374207, -0.01925213821232319, 0.018942750990390778, 0.015402465127408504, -0.018548425287008286, 0.018802260980010033, -0.018937882035970688, -0.020442573353648186, 0.005952879320830107, 0.028555618599057198, -0.01798471435904503, 0.013972800225019455, -0.01910228841006756, -0.022029519081115723, -0.02041623741388321, -0.02110431343317032, 0.014897721819579601, 0.005239617079496384, -0.016116822138428688]"
2,"[0.043829210102558136, -0.02918686717748642, -0.029450148344039917, -0.02893846668303013, -0.02931908704340458, -0.028486507013440132, -0.029309792444109917, -0.02928565815091133, -0.025251999497413635, -0.009865116328001022, -0.007901429198682308, -0.0007560764206573367, -0.024731259793043137, -0.02778002619743347, -0.02809198386967182, -0.028178518638014793, -0.02686402201652527, 0.05424164608120918, 0.05824771523475647, 0.05236678570508957, -0.02840983122587204, -0.02815951406955719, -0.025306520983576775, -0.008332112804055214, -0.012658757157623768, -0.016341792419552803, -0.0252864807844162, -0.027885545045137405, -0.02919062040746212, -0.022127727046608925, -0.019216733053326607, -0.01481897197663784, -0.025214653462171555, -0.02330891042947769, -0.02307790331542492, -0.02311992645263672, -0.02280658669769764, -0.02203141152858734, -0.0014362814836204052, -0.00135454919654876, -0.02230014093220234, -0.022276204079389572, -0.023534471169114113, 0.02251645177602768, 0.019737090915441513, -0.022674283012747765, 0.023310894146561623, -0.02315031737089157, -0.024989666417241096, 0.003073715837672353, 0.02863357588648796, -0.021990453824400902, 0.015497534535825253, -0.023351352661848068, -0.02692953124642372, -0.024957576766610146, -0.025798805058002472, 0.014753710478544235, -0.00032166120945475996, -0.019701655954122543]"
2,"[0.04699130728840828, -0.03376394882798195, -0.0340685173869133, -0.03347659483551979, -0.0339169055223465, -0.03295375779271126, -0.03390615060925484, -0.03387823328375816, -0.02921202965080738, -0.015856878831982613, -0.013379264622926712, -0.0041481745429337025, -0.02860966883599758, -0.03213649243116379, -0.03249736875295639, -0.03259747475385666, -0.031076842918992043, 0.06299491226673126, 0.0670931488275528, 0.06078759953379631, -0.03286505863070488, -0.032575491815805435, -0.029275070875883102, -0.012069162912666798, -0.015784213319420815, -0.018904507160186768, -0.02925187349319458, -0.032258566468954086, -0.03376828506588936, -0.025597764179110527, -0.022230278700590134, -0.01714288257062435, -0.02916886657476425, -0.026964282616972923, -0.026697048917412758, -0.026745663955807686, -0.02638322487473488, -0.025487065315246582, -0.00487559987232089, -0.004778842907398939, -0.02579733170568943, -0.025769667699933052, -0.027225280180573463, 0.028494995087385178, 0.01584920659661293, -0.026230234652757645, 0.02091066539287567, -0.026780886575579643, -0.028908656910061836, 0.003181798616424203, 0.026792792603373528, -0.02544287219643593, 0.01999720185995102, -0.027013488113880157, -0.03115268237888813, -0.028871599584817886, -0.029844801872968674, 0.012686846777796745, -0.005114746745675802, -0.022791074588894844]"
3,"[0.04989675432443619, -0.037761129438877106, -0.03810175508260727, -0.03743975982069969, -0.03793219476938248, -0.036855027079582214, -0.03792016953229904, -0.037888944149017334, -0.032670337706804276, -0.02108950726687908, -0.018163077533245087, -0.007110504433512688, -0.03199669346213341, -0.03594100847840309, -0.036344606429338455, -0.03645656257867813, -0.03475591540336609, 0.07145000994205475, 0.07567522674798965, 0.06885569542646408, -0.03675582632422447, -0.03643197938799858, -0.03274080902338028, -0.015332740731537342, -0.01851368322968483, -0.021142523735761642, -0.03271484375, -0.036077532917261124, -0.03776596114039421, -0.028628135100007057, -0.024861996993422508, -0.019172344356775284, -0.032622091472148895, -0.030156532302498817, -0.029857661575078964, -0.029912034049630165, -0.029506715014576912, -0.02850489877164364, -0.007879168726503849, -0.007769291754812002, -0.02885144203901291, -0.028820522129535675, -0.030448472127318382, 0.033661432564258575, 0.012438373640179634, -0.029335657134652138, 0.018497394397854805, -0.02995147369801998, -0.03233111649751663, 0.002758490387350321, 0.0249320175498724, -0.028457872569561005, 0.023095088079571724, -0.030211640521883965, -0.03484075516462326, -0.032289713621139526, -0.033378150314092636, 0.011036214418709278, -0.009300555102527142, -0.025488881394267082]"
3,"[0.05282995477318764, -0.04128488525748253, -0.04165729880332947, -0.040933527052402496, -0.04147191345691681, -0.04029422998428345, -0.04145876690745354, -0.04142462834715843, -0.035719044506549835, -0.025702383369207382, -0.022380294278264046, -0.009721973910927773, -0.034982554614543915, -0.03929491713643074, -0.039736177772283554, -0.03985857963562012, -0.037999238818883896, 0.07913151383399963, 0.0836234763264656, 0.07607411593198776, -0.04018577188253403, -0.039831701666116714, -0.03579605743288994, -0.018209777772426605, -0.02091987058520317, -0.023115459829568863, -0.03576764464378357, -0.039444174617528915, -0.04129013791680336, -0.031299568712711334, -0.027181994169950485, -0.020961422473192215, -0.03566631302237511, -0.03297068923711777, -0.03264392912387848, -0.032703377306461334, -0.03226025775074959, -0.03116529993712902, -0.010526994243264198, -0.01040555164217949, -0.03154382482171059, -0.03151003271341324, -0.03328990563750267, 0.03923262283205986, 0.008396399207413197, -0.03207327052950859, 0.01625138521194458, -0.032746534794569016, -0.035348210483789444, -0.0003669651923701167, 0.02228463627398014, -0.03111576847732067, 0.02646302618086338, -0.03303099796175957, -0.0380919985473156, -0.03530297055840492, -0.036492977291345596, 0.009343649260699749, -0.012990586459636688, -0.027867000550031662]"
3,"[0.05558183044195175, -0.04441304877400398, -0.04481368139386177, -0.04403506964445114, -0.04461424797773361, -0.04334733262658119, -0.04460010677576065, -0.044563379138708115, -0.03842549026012421, -0.029797397553920746, -0.02612406760454178, -0.012040266767144203, -0.03763321042060852, -0.04227229952812195, -0.042746998369693756, -0.04287867248058319, -0.04087844863533974, 0.08619188517332077, 0.0909682959318161, 0.08264243602752686, -0.043230656534433365, -0.04284975305199623, -0.038508303463459015, -0.020763825625181198, -0.023055925965309143, -0.024866895750164986, -0.038477711379528046, -0.04243285581469536, -0.04441866651177406, -0.03367108106613159, -0.029241524636745453, -0.022549638524651527, -0.038368772715330124, -0.03546891734004021, -0.03511739894747734, -0.035181351006031036, -0.034704674035310745, -0.033527031540870667, -0.012877563014626503, -0.012745853513479233, -0.03393394872546196, -0.033897608518600464, -0.035812344402074814, 0.04414088651537895, 0.0048309629783034325, -0.034503549337387085, 0.0143189188092947, -0.035227805376052856, -0.038026582449674606, -0.003141539404168725, 0.020721325650811195, -0.03347527235746384, 0.030101152136921883, -0.0355338379740715, -0.04097822681069374, -0.03797793388366699, -0.039258092641830444, 0.007059348747134209, -0.01626635156571865, -0.029978008940815926]"
4,"[0.05806085094809532, -0.04720486328005791, -0.0476306788623333, -0.046803124248981476, -0.047418709844350815, -0.046072155237197876, -0.04740367829799652, -0.04736464098095894, -0.04084092751145363, -0.033452101051807404, -0.02946529909968376, -0.014109287410974503, -0.0399988554418087, -0.04492954537272453, -0.04543408378958702, -0.04557403549551964, -0.0434480756521225, 0.09077806770801544, 0.09673254936933517, 0.08691056817770004, -0.04594814404845238, -0.04554329067468643, -0.040928915143013, -0.023043252527713776, -0.024962302297353745, -0.026430005207657814, -0.04089637100696564, -0.04510017856955528, -0.04721079394221306, -0.035787586122751236, -0.031079594045877457, -0.023967072367668152, -0.040780652314424515, -0.03769852593541145, -0.03732491284608841, -0.037392884492874146, -0.03688625991344452, -0.03563482314348221, -0.014975390397012234, -0.014834518544375896, -0.03606707975268364, -0.03602846339344978, -0.03806355968117714, 0.042200516909360886, 0.008069160394370556, -0.03667251393198967, 0.016744429245591164, -0.03744228184223175, -0.040416963398456573, -0.0056177787482738495, 0.02223474718630314, -0.0355810709297657, 0.028068222105503082, -0.03776756301522255, -0.04355410858988762, -0.04036526754498482, -0.041725873947143555, 0.0045472788624465466, -0.01918988861143589, -0.03186192363500595]"
