1,"[8.26492907890497e-07, 4.182010968634131e-07, 2.252310480344022e-07, 2.028793062436307e-07, 1.8723309835877444e-07, 2.0138919865075877e-07, 1.7754733505626064e-07, 1.5519559326548915e-07, 1.440197223701034e-07, 1.3507903418030764e-07, 1.3805926357690623e-07, 1.6562640325901157e-07, 2.222508186378036e-07, 2.446025746394298e-07, 1.8350780806031253e-07, 1.4103949297350482e-07, 1.7456710565966205e-07, 3.871545231959317e-06, 0.01999974437057972, 0.019998863339424133, 1.1198223148767283e-07, 2.05859549851084e-07, 1.3507903418030764e-07, 1.730769838559354e-07, 1.5445053236362583e-07, 1.3805926357690623e-07, 1.3135374388184573e-07, 1.2911856117625575e-07, 1.127272852841088e-07, 9.782612409026115e-08, 8.367002379827682e-08, 8.367002379827682e-08, 7.696449699778896e-08, 7.547438229948966e-08, 6.653368700426654e-08, 6.504357230596725e-08, 7.696449699778896e-08, 9.33557728899359e-08, 8.217990199455016e-08, 5.461275520701747e-08, 3.59863037147079e-08, 6.653368700426654e-08, 2.3789704073351459e-07, 0.019999830052256584, 8.555501835871837e-07, 1.6348809595001512e-06, 4.740804513403418e-07, 1.2109428553230828e-06, 4.6215953375394747e-07, 3.4071504728672153e-07, 5.076080356047896e-07, 1.362189664178004e-06, 4.3906271685045795e-07, 9.777396599019994e-07, 6.677955752820708e-07, 3.49655749687372e-07, 1.1170656080139452e-06, 0.019999206066131592, 0.01999971829354763, 3.5846978789777495e-06]"
1,"[0.0060005225241184235, -0.009288950823247433, -0.009983318857848644, -0.009963958524167538, -0.009843109175562859, -0.009981105104088783, -0.009998209774494171, -0.010009723715484142, -0.009930834174156189, -0.00990117434412241, -0.010008205659687519, -0.009270550683140755, -0.007552014198154211, -0.009893856942653656, -0.009140054695308208, -0.009175199083983898, -0.009578272700309753, 0.007197021972388029, 0.028604982420802116, 0.02792823500931263, -0.009537750855088234, -0.009877855889499187, -0.00998731143772602, -0.01001321617513895, -0.009944899007678032, -0.009759100154042244, -0.009573091752827168, -0.009397155605256557, -0.009019394405186176, -0.008634855039417744, -0.008219964802265167, -0.008026734925806522, -0.007812956348061562, -0.00785213615745306, -0.007898611947894096, -0.007929629646241665, -0.007723878603428602, -0.007024706806987524, -0.006567422766238451, -0.006960404105484486, -0.0074792238883674145, -0.007326570805162191, -0.008009150624275208, 0.025950787588953972, -0.009802478365600109, -0.009665858000516891, -0.009211571887135506, -0.010010706260800362, -0.008977585472166538, -0.009894813410937786, -0.008699319325387478, -0.009911339730024338, -0.00943832192569971, -0.00987241417169571, -0.008707237429916859, -0.00802734587341547, -0.0052490681409835815, 0.02493785321712494, 0.02851051092147827, -0.00669656740501523]"
1,"[0.012139171361923218, -0.016469627618789673, -0.017700593918561935, -0.017666246742010117, -0.017451969906687737, -0.017696646973490715, -0.01772696152329445, -0.017747363075613976, -0.017607489600777626, -0.01755489595234394, -0.01774466224014759, -0.016436807811260223, -0.013389874249696732, -0.017541993409395218, -0.016205472871661186, -0.01626775413751602, -0.0169824231415987, 0.014328735880553722, 0.03721901401877403, 0.03504115715622902, -0.016910536214709282, -0.017513597384095192, -0.017707612365484238, -0.017753565683960915, -0.01763242669403553, -0.017302991822361946, -0.016973193734884262, -0.016661258414387703, -0.01599147729575634, -0.015309678390622139, -0.014574069529771805, -0.01423147227615118, -0.013852438889443874, -0.013921904377639294, -0.0140042994171381, -0.014059294015169144, -0.013694504275918007, -0.012454882264137268, -0.011644109152257442, -0.012340850196778774, -0.013260707259178162, -0.012990070506930351, -0.014200384728610516, 0.03078237734735012, -0.017380379140377045, -0.017138531431555748, -0.016332412138581276, -0.01774974912405014, -0.015917547047138214, -0.01754373125731945, -0.015424206852912903, -0.017573632299900055, -0.016734421253204346, -0.017504388466477394, -0.015438336879014969, -0.014232710003852844, -0.009307334199547768, 0.02951699309051037, 0.033013951033353806, -0.011875213123857975]"
2,"[0.01850208267569542, -0.022351577877998352, -0.024022093042731285, -0.023975467309355736, -0.023684659972786903, -0.0240167248994112, -0.024057863280177116, -0.024085549637675285, -0.02389572560787201, -0.02382434532046318, -0.0240818802267313, -0.02230694517493248, -0.01817186549305916, -0.0238068588078022, -0.02199302427470684, -0.022077536210417747, -0.023047439754009247, 0.022504296153783798, 0.046331875026226044, 0.04325662925839424, -0.022949866950511932, -0.023768315091729164, -0.02403159812092781, -0.02409396879374981, -0.02392956055700779, -0.023482469841837883, -0.02303488925099373, -0.022611550986766815, -0.021702567115426064, -0.020777273923158646, -0.01977895386517048, -0.019314004108309746, -0.01879960484802723, -0.018893878906965256, -0.019005699083209038, -0.019080333411693573, -0.018585266545414925, -0.016902940347790718, -0.015802612528204918, -0.016748176887631416, -0.017996542155742645, -0.01762925647199154, -0.019271835684776306, 0.03284553438425064, -0.0235876627266407, -0.023259464651346207, -0.02216530404984951, -0.024088965728878975, -0.02160227671265602, -0.023809216916561127, -0.0209327545017004, -0.023849939927458763, -0.022710880264639854, -0.023755908012390137, -0.020951950922608376, -0.019315719604492188, -0.012631520628929138, 0.03178514912724495, 0.03618048503994942, -0.016116837039589882]"
2,"[0.02505921572446823, -0.027323151007294655, -0.029365183785557747, -0.029308179393410683, -0.028952686116099358, -0.02935861423611641, -0.029408901929855347, -0.02944274991750717, -0.029210707172751427, -0.029123451560735703, -0.029438264667987823, -0.027268532663583755, -0.02221371792256832, -0.029102083295583725, -0.026884818449616432, -0.02698812074959278, -0.02817375212907791, 0.02956639975309372, 0.05414307862520218, 0.05021031200885773, -0.02805447205901146, -0.02905496209859848, -0.029376795515418053, -0.029453041031956673, -0.029252059757709503, -0.028705524280667305, -0.028158390894532204, -0.027640890330076218, -0.02652972750365734, -0.025398628786206245, -0.024178259074687958, -0.023609893396496773, -0.022981079295277596, -0.023096324875950813, -0.023233015090227127, -0.02332424931228161, -0.022719068452715874, -0.02066255547106266, -0.019317489117383957, -0.02047336846590042, -0.02199939824640751, -0.02155042067170143, -0.023558344691991806, 0.03366288170218468, -0.028834179043769836, -0.028432881459593773, -0.027095377445220947, -0.029446948319673538, -0.026407120749354362, -0.029104946181178093, -0.025588680058717728, -0.029154719784855843, -0.02776230499148369, -0.029039772227406502, -0.02561214193701744, -0.02361198700964451, -0.015441142953932285, 0.030786938965320587, 0.03653887286782265, -0.019701670855283737]"
2,"[0.031846098601818085, -0.031607989221811295, -0.033970221877098083, -0.033904269337654114, -0.033493027091026306, -0.033962614834308624, -0.034020792692899704, -0.034059952944517136, -0.033791523426771164, -0.03369058668613434, -0.03405476361513138, -0.0315447635948658, -0.02569725550711155, -0.033665869385004044, -0.031100906431674957, -0.03122040629386902, -0.032591961324214935, 0.03672819584608078, 0.0618293322622776, 0.057285282760858536, -0.032453976571559906, -0.03361135721206665, -0.03398365527391434, -0.03407185524702072, -0.033839352428913116, -0.033207111060619354, -0.03257417306303978, -0.03197551891207695, -0.030690105631947517, -0.029381630942225456, -0.027969883754849434, -0.0273123886436224, -0.026584964245557785, -0.02671828307211399, -0.026876408606767654, -0.026981951668858528, -0.026281865313649178, -0.023902850225567818, -0.022346852347254753, -0.023683996871113777, -0.025449339300394058, -0.0249299518764019, -0.027252741158008575, 0.035212066024541855, -0.0333559550344944, -0.032891564071178436, -0.031344421207904816, -0.03406475484371185, -0.030548235401511192, -0.03366915509104729, -0.02960144355893135, -0.03372665122151375, -0.03211594372987747, -0.03359370306134224, -0.029628567397594452, -0.027314787730574608, -0.01786261610686779, 0.02643338032066822, 0.03401131555438042, -0.022791096940636635]"
3,"[0.037316881120204926, -0.03534994646906853, -0.03799181059002876, -0.03791804239153862, -0.037458114326000214, -0.03798329830169678, -0.03804836422204971, -0.03809216618537903, -0.037791963666677475, -0.03767907992005348, -0.03808636590838432, -0.035279203206300735, -0.028739428147673607, -0.0376514308154583, -0.034782830625772476, -0.0349164754152298, -0.03645039722323418, 0.044033557176589966, 0.06906092911958694, 0.06408590823411942, -0.03629607707262039, -0.03759046643972397, -0.03800683468580246, -0.03810547664761543, -0.03784544765949249, -0.037138354033231735, -0.0364304855465889, -0.03576095774769783, -0.034323371946811676, -0.03285999596118927, -0.03128112107515335, -0.030545787885785103, -0.029732245951890945, -0.029881348833441734, -0.03005819581449032, -0.030176233500242233, -0.029393265023827553, -0.026732608675956726, -0.024992402642965317, -0.02648784965276718, -0.028462184593081474, -0.027881305664777756, -0.030479058623313904, 0.03900269418954849, -0.03730480745434761, -0.036785244941711426, -0.035055097192525864, -0.03809744119644165, -0.034164655953645706, -0.037655074149370193, -0.033105771988630295, -0.037719253450632095, -0.035917963832616806, -0.037570610642433167, -0.03313608467578888, -0.03054843656718731, -0.019977252930402756, 0.021393241360783577, 0.030108490958809853, -0.02548891492187977]"
3,"[0.043666161596775055, -0.03864869847893715, -0.041537072509527206, -0.04145641624927521, -0.04095356911420822, -0.04152776300907135, -0.04159890487790108, -0.0416468009352684, -0.041318587958812714, -0.04119517281651497, -0.04164046049118042, -0.038571327924728394, -0.03142127767205238, -0.041164934635162354, -0.03802866488695145, -0.03817477822303772, -0.0398518368601799, 0.05112474784255028, 0.07608701288700104, 0.07083413004875183, -0.03968311846256256, -0.04109828546643257, -0.04155350476503372, -0.041661348193883896, -0.041377052664756775, -0.04060397669672966, -0.039830051362514496, -0.039098042994737625, -0.03752630949020386, -0.03592637926340103, -0.034200169146060944, -0.033396217972040176, -0.03250676020979881, -0.032669778913259506, -0.032863128930330276, -0.032992180436849594, -0.03213614597916603, -0.029227206483483315, -0.027324611321091652, -0.0289596114307642, -0.031118188053369522, -0.030483098700642586, -0.03332323953509331, 0.04252980649471283, -0.040785931050777435, -0.040217671543359756, -0.03832625597715378, -0.04165244475007057, -0.03735272213816643, -0.04116888716816902, -0.036195021122694016, -0.04123890399932861, -0.03926965221762657, -0.04107644408941269, -0.03622813522815704, -0.0333990752696991, -0.021841395646333694, 0.015285953879356384, 0.0254255048930645, -0.027867047116160393]"
3,"[0.04926322028040886, -0.041577111929655075, -0.04468432441353798, -0.044597551226615906, -0.04405660182237625, -0.04467430338263512, -0.04475083947181702, -0.04480237141251564, -0.04444929584860802, -0.04431653022766113, -0.044795554131269455, -0.04149385914206505, -0.03380204364657402, -0.04428398981690407, -0.040910106152296066, -0.04106729105114937, -0.04287141188979149, 0.05829820781946182, 0.08292116969823837, 0.07755648344755173, -0.042689915746450424, -0.04421229660511017, -0.04470200464129448, -0.04481801763176918, -0.044512178748846054, -0.043680526316165924, -0.04284796118736267, -0.0420604906976223, -0.0403696671128273, -0.038648512214422226, -0.03679151087999344, -0.03592664375901222, -0.034969791769981384, -0.03514516353607178, -0.0353531651198864, -0.03549199551343918, -0.034571100026369095, -0.03144174814224243, -0.02939499355852604, -0.031153881922364235, -0.03347601741552353, -0.03279280290007591, -0.03584811091423035, 0.04808273911476135, -0.043876226991415024, -0.04326469078660011, -0.04123016074299812, -0.04480830579996109, -0.04018286243081093, -0.044288210570812225, -0.038937438279390335, -0.044363368302583694, -0.0422450453042984, -0.04418865591287613, -0.03897302970290184, -0.03592967242002487, -0.0234962310642004, 0.00799546018242836, 0.019680848345160484, -0.02997807040810585]"
4,"[0.05540997534990311, -0.04419064521789551, -0.04749316722154617, -0.047400932759046555, -0.04682597890496254, -0.04748251289129257, -0.047563862055540085, -0.04761863872408867, -0.047243375331163406, -0.04710226505994797, -0.04761139675974846, -0.04410214349627495, -0.03592681139707565, -0.04706766828894615, -0.043481722474098206, -0.04364879056811333, -0.04556630924344063, 0.06432867050170898, 0.08881662786006927, 0.08300595730543137, -0.04537340998649597, -0.04699147492647171, -0.04751196503639221, -0.047635268419981, -0.047310203313827515, -0.04642627015709877, -0.045541372150182724, -0.04470440000295639, -0.042907293885946274, -0.04107794910669327, -0.039104219526052475, -0.038184989243745804, -0.037167988717556, -0.03735438734292984, -0.03757546469569206, -0.03772301971912384, -0.03674423694610596, -0.03341817110776901, -0.03124275989830494, -0.033112216740846634, -0.03558032214641571, -0.034854158759117126, -0.03810149058699608, 0.05169686675071716, -0.04663422331213951, -0.045984022319316864, -0.04382181167602539, -0.047624800354242325, -0.04270868003368378, -0.04707212373614311, -0.04138496145606041, -0.0471518337726593, -0.044900499284267426, -0.046966198831796646, -0.041422758251428604, -0.038188159465789795, -0.024973105639219284, 0.00038083543768152595, 0.013484629802405834, -0.03186199814081192]"
