1,"[-1.4209853410720825, -1.4009885787963867, -1.4010030031204224, -1.4203006029129028, -1.4209864139556885, -1.420986533164978, -1.4209688901901245, -1.4009872674942017, -1.4009883403778076, -1.4209868907928467, -1.4209868907928467, -1.4209867715835571, -1.400987148284912, -1.400987148284912, -1.400987148284912, -1.4209868907928467, -1.4209870100021362, -1.4209868907928467, -1.4009870290756226, -1.4009870290756226, -2.229203224182129, -2.2292025089263916, -2.229201316833496, -2.2092041969299316, -2.2092041969299316, -2.209204912185669, -2.2092137336730957, -2.2092056274414062, -2.2292001247406006, -2.22920298576355, -2.2292020320892334, -2.2092037200927734, -2.2092037200927734, -2.209205150604248, -2.229203224182129, -2.229203224182129, -2.2292027473449707, -2.2092044353485107, -2.2092037200927734, -2.2092037200927734, -2.9981565475463867, -2.998155117034912, -2.998155117034912, -2.9981560707092285, -2.9981586933135986, -2.998155355453491, -2.998155355453491, -3.0181539058685303, -3.0181546211242676, -3.0181546211242676, -3.0181546211242676, -3.0181539058685303, -2.998155117034912, -2.998154878616333, -3.0181519985198975, -3.0181548595428467, -3.0181548595428467, -3.0181548595428467, -2.998154878616333, -3.00815486907959]"
2,"[-1.4295238256454468, -1.3909837007522583, -1.3924846649169922, -1.412864327430725, -1.4276739358901978, -1.429537057876587, -1.4284309148788452, -1.3928695917129517, -1.3933742046356201, -1.4177122116088867, -1.4297417402267456, -1.4289624691009521, -1.3919731378555298, -1.3927370309829712, -1.3930740356445312, -1.4304139614105225, -1.429671287536621, -1.4293478727340698, -1.3918836116790771, -1.3919610977172852, -2.236236095428467, -2.237689256668091, -2.2278761863708496, -2.200805902481079, -2.200531482696533, -2.2009310722351074, -2.2014811038970947, -2.2007646560668945, -2.2226221561431885, -2.2382781505584717, -2.2378644943237305, -2.200918436050415, -2.1993069648742676, -2.201378583908081, -2.235485315322876, -2.2386701107025146, -2.237433671951294, -2.205800771713257, -2.1997320652008057, -2.200111150741577, -2.9898793697357178, -2.988158702850342, -2.988370895385742, -2.99810791015625, -3.0048086643218994, -2.9977197647094727, -2.9898951053619385, -3.015383720397949, -3.0253617763519287, -3.0279836654663086, -3.028165578842163, -3.0276834964752197, -2.98836088180542, -2.98819637298584, -3.012401819229126, -3.0281033515930176, -3.0280251502990723, -3.027256488800049, -2.9881768226623535, -3.00815486907959]"
3,"[-1.4359220266342163, -1.3973631858825684, -1.3988707065582275, -1.4192397594451904, -1.4340722560882568, -1.4359829425811768, -1.434919834136963, -1.3992509841918945, -1.3997446298599243, -1.4240938425064087, -1.436290979385376, -1.4360222816467285, -1.385305643081665, -1.385621428489685, -1.3849291801452637, -1.4294999837875366, -1.4375498294830322, -1.4371514320373535, -1.3825087547302246, -1.3831058740615845, -2.244398593902588, -2.243790626525879, -2.221439838409424, -2.192718982696533, -2.192690134048462, -2.1931521892547607, -2.1929314136505127, -2.1917548179626465, -2.2203989028930664, -2.2475528717041016, -2.245044469833374, -2.1925485134124756, -2.1905276775360107, -2.19541597366333, -2.2419750690460205, -2.2468106746673584, -2.245445966720581, -2.2005107402801514, -2.190089464187622, -2.192269802093506, -2.9809746742248535, -2.9781341552734375, -2.9784772396087646, -2.9968576431274414, -3.0123538970947266, -2.998871088027954, -2.982290267944336, -3.0126125812530518, -3.0331318378448486, -3.0378527641296387, -3.038151741027832, -3.037261486053467, -2.9784557819366455, -2.9782400131225586, -3.013965368270874, -3.0380897521972656, -3.037811279296875, -3.035797595977783, -2.97835636138916, -3.00815486907959]"
4,"[-1.4411903619766235, -1.40259850025177, -1.4040753841400146, -1.4244753122329712, -1.4393984079360962, -1.4413825273513794, -1.440348744392395, -1.4044173955917358, -1.4049220085144043, -1.4292819499969482, -1.441664218902588, -1.4419468641281128, -1.3795862197875977, -1.3793774843215942, -1.3771759271621704, -1.4290274381637573, -1.4457780122756958, -1.4453595876693726, -1.37288236618042, -1.3738255500793457, -2.2462499141693115, -2.2473092079162598, -2.2135939598083496, -2.185009002685547, -2.1856534481048584, -2.1857588291168213, -2.18383526802063, -2.182487964630127, -2.22031569480896, -2.257108449935913, -2.253282308578491, -2.184767723083496, -2.181450843811035, -2.1882879734039307, -2.2476253509521484, -2.2555880546569824, -2.2542006969451904, -2.203629493713379, -2.1802878379821777, -2.183619499206543, -2.9735965728759766, -2.9682257175445557, -2.9686596393585205, -2.993752956390381, -3.018775463104248, -3.0001442432403564, -2.9756197929382324, -3.0114517211914062, -3.0412635803222656, -3.047523260116577, -3.0476338863372803, -3.0466675758361816, -2.969301223754883, -2.9691996574401855, -3.019343137741089, -3.0479695796966553, -3.0471949577331543, -3.0431222915649414, -2.968777656555176, -3.00815486907959]"
5,"[-1.445665955543518, -1.4070326089859009, -1.4084837436676025, -1.4289196729660034, -1.443953037261963, -1.445985198020935, -1.4449703693389893, -1.4087791442871094, -1.4092944860458374, -1.4336678981781006, -1.446237325668335, -1.4470571279525757, -1.3746311664581299, -1.3739296197891235, -1.370240569114685, -1.4294136762619019, -1.4536325931549072, -1.453387975692749, -1.3635082244873047, -1.364801049232483, -2.245708465576172, -2.2515127658843994, -2.2097277641296387, -2.1775856018066406, -2.177710771560669, -2.177562713623047, -2.175163507461548, -2.174126386642456, -2.2186548709869385, -2.2634356021881104, -2.2571566104888916, -2.1768076419830322, -2.174217939376831, -2.1830248832702637, -2.2546679973602295, -2.2643730640411377, -2.26261568069458, -2.205717086791992, -2.17063307762146, -2.1755001544952393, -2.973036050796509, -2.9635260105133057, -2.9599790573120117, -2.98775053024292, -3.0207176208496094, -2.9983458518981934, -2.967777967453003, -3.0079829692840576, -3.049387216567993, -3.057159662246704, -3.0568344593048096, -3.0554604530334473, -2.9605472087860107, -2.9611685276031494, -3.0264177322387695, -3.057670831680298, -3.0556437969207764, -3.047675132751465, -2.959933280944824, -3.00815486907959]"
6,"[-1.4495282173156738, -1.41085684299469, -1.4122871160507202, -1.4327651262283325, -1.4479093551635742, -1.4499765634536743, -1.448967695236206, -1.412529706954956, -1.4130576848983765, -1.4374470710754395, -1.4502345323562622, -1.4516823291778564, -1.3702484369277954, -1.3690346479415894, -1.3636105060577393, -1.4306035041809082, -1.4618703126907349, -1.4618126153945923, -1.354028344154358, -1.3557581901550293, -2.250232458114624, -2.257636070251465, -2.204963207244873, -2.1701953411102295, -2.1703436374664307, -2.1703600883483887, -2.1660637855529785, -2.1654040813446045, -2.214845657348633, -2.270684242248535, -2.263117551803589, -2.169071912765503, -2.166287899017334, -2.176140546798706, -2.258354663848877, -2.273556709289551, -2.2714953422546387, -2.2109856605529785, -2.160940170288086, -2.16676926612854, -2.970906972885132, -2.957606554031372, -2.951570987701416, -2.9841978549957275, -3.023391008377075, -2.996276617050171, -2.95989990234375, -3.005216598510742, -3.057684898376465, -3.066650867462158, -3.065577745437622, -3.0625112056732178, -2.9518802165985107, -2.9533958435058594, -3.03440260887146, -3.067326784133911, -3.063474416732788, -3.0501656532287598, -2.9514362812042236, -3.00815486907959]"
7,"[-1.4528791904449463, -1.4141415357589722, -1.4155584573745728, -1.4360790252685547, -1.4513121843338013, -1.4534673690795898, -1.452466607093811, -1.4157800674438477, -1.4163434505462646, -1.4407535791397095, -1.4538623094558716, -1.4563565254211426, -1.366184115409851, -1.3639662265777588, -1.356521725654602, -1.434429407119751, -1.4705915451049805, -1.4705321788787842, -1.3448491096496582, -1.3465737104415894, -2.256499767303467, -2.2649905681610107, -2.202359676361084, -2.1621739864349365, -2.1622674465179443, -2.16290545463562, -2.156644582748413, -2.1563498973846436, -2.210094690322876, -2.2774131298065186, -2.268599271774292, -2.1611461639404297, -2.1584055423736572, -2.168856143951416, -2.2601208686828613, -2.2828142642974854, -2.280587911605835, -2.2169294357299805, -2.1511330604553223, -2.157790184020996, -2.965869903564453, -2.9513919353485107, -2.9433395862579346, -2.9807567596435547, -3.025906801223755, -2.9943528175354004, -2.9526050090789795, -3.0034866333007812, -3.0657942295074463, -3.075650691986084, -3.0736446380615234, -3.067791700363159, -2.9434001445770264, -2.9460678100585938, -3.043010950088501, -3.0767264366149902, -3.0701966285705566, -3.050330877304077, -2.943678617477417, -3.00815486907959]"
8,"[-1.4558264017105103, -1.4170238971710205, -1.4184314012527466, -1.4389853477478027, -1.454298734664917, -1.4565536975860596, -1.4555710554122925, -1.4186326265335083, -1.4192311763763428, -1.4436699151992798, -1.4571586847305298, -1.4608573913574219, -1.362381935119629, -1.3591134548187256, -1.3495551347732544, -1.4385935068130493, -1.4791927337646484, -1.4792394638061523, -1.33574378490448, -1.3373600244522095, -2.262920618057251, -2.2722725868225098, -2.2041409015655518, -2.155111312866211, -2.1543591022491455, -2.1559815406799316, -2.148247480392456, -2.148242712020874, -2.2036051750183105, -2.2849690914154053, -2.275129556655884, -2.155561685562134, -2.1500961780548096, -2.161451816558838, -2.25593638420105, -2.292348623275757, -2.289008617401123, -2.2225542068481445, -2.141314744949341, -2.149797201156616, -2.9593417644500732, -2.9441237449645996, -2.9359939098358154, -2.981588125228882, -3.0303685665130615, -2.993407726287842, -2.9463374614715576, -3.0042002201080322, -3.0743439197540283, -3.0848042964935303, -3.0816922187805176, -3.072152614593506, -2.934701919555664, -2.9385714530944824, -3.0519802570343018, -3.086243152618408, -3.076982021331787, -3.049534320831299, -2.935612916946411, -3.00815486907959]"
9,"[-1.4586502313613892, -1.419753074645996, -1.4210281372070312, -1.442063331604004, -1.4573408365249634, -1.459418535232544, -1.458364725112915, -1.42115318775177, -1.4217897653579712, -1.4462605714797974, -1.460119366645813, -1.4649385213851929, -1.358875036239624, -1.3546240329742432, -1.342966079711914, -1.443311095237732, -1.4876155853271484, -1.4878791570663452, -1.3270058631896973, -1.3281513452529907, -2.2686471939086914, -2.2773213386535645, -2.205406904220581, -2.149595022201538, -2.148541212081909, -2.150726556777954, -2.140745162963867, -2.1410908699035645, -2.1986374855041504, -2.2923858165740967, -2.2813313007354736, -2.1495933532714844, -2.1420791149139404, -2.1546099185943604, -2.251919984817505, -2.3011505603790283, -2.2966389656066895, -2.2273261547088623, -2.1317319869995117, -2.142441987991333, -2.953582763671875, -2.9381043910980225, -2.9295461177825928, -2.982285976409912, -3.034323215484619, -2.99161434173584, -2.9397788047790527, -3.0055904388427734, -3.0831573009490967, -3.0939528942108154, -3.089402675628662, -3.075312614440918, -2.9259822368621826, -2.9311647415161133, -3.0611116886138916, -3.0954930782318115, -3.0827176570892334, -3.046980619430542, -2.928149461746216, -3.00815486907959]"
10,"[-1.4611718654632568, -1.422190546989441, -1.4233460426330566, -1.444811463356018, -1.460060477256775, -1.4619777202606201, -1.4608570337295532, -1.4233989715576172, -1.4240719079971313, -1.4485764503479004, -1.4627968072891235, -1.4686614274978638, -1.3556431531906128, -1.350528597831726, -1.3369245529174805, -1.447876214981079, -1.4954216480255127, -1.4958994388580322, -1.3188207149505615, -1.3195551633834839, -2.2741706371307373, -2.282383918762207, -2.2056937217712402, -2.144528865814209, -2.1433792114257812, -2.146034002304077, -2.1336171627044678, -2.134319543838501, -2.194267749786377, -2.299592971801758, -2.2871205806732178, -2.1431753635406494, -2.134260654449463, -2.1481213569641113, -2.2481038570404053, -2.309478521347046, -2.3037984371185303, -2.2316200733184814, -2.122260332107544, -2.1355247497558594, -2.9492428302764893, -2.933145761489868, -2.9232311248779297, -2.9818947315216064, -3.037358522415161, -2.9898452758789062, -2.9338486194610596, -3.008065700531006, -3.091806411743164, -3.102696180343628, -3.096890449523926, -3.0793983936309814, -2.91782283782959, -2.924210548400879, -3.0702297687530518, -3.104308843612671, -3.087831497192383, -3.043596029281616, -2.9210503101348877, -3.00815486907959]"
