1,"[-1.4009875059127808, -1.4009873867034912, -1.4009873867034912, -1.4009877443313599, -1.4209860563278198, -1.4209868907928467, -1.4209870100021362, -1.4209868907928467, -1.4009870290756226, -1.4009870290756226, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4009870290756226, -1.4009870290756226, -1.4009884595870972, -1.4209870100021362, -1.4209870100021362, -1.4009873867034912, -1.4009870290756226, -2.229203224182129, -2.2092037200927734, -2.2092037200927734, -2.2092039585113525, -2.2292003631591797, -2.2292027473449707, -2.2292027473449707, -2.2292025089263916, -2.2292025089263916, -2.2292025089263916, -2.2292022705078125, -2.2092082500457764, -2.2092039585113525, -2.2092039585113525, -2.209204912185669, -2.22920298576355, -2.229203224182129, -2.229203224182129, -2.2092037200927734, -2.2092034816741943, -2.998156785964966, -3.0180115699768066, -3.018152952194214, -3.0181539058685303, -3.0181539058685303, -3.0181539058685303, -3.018153667449951, -3.018153667449951, -3.0181519985198975, -2.9981563091278076, -2.998155355453491, -2.998155117034912, -2.998155117034912, -2.9981565475463867, -3.0181548595428467, -3.0181548595428467, -3.0181548595428467, -3.0181548595428467, -2.998154878616333, -3.00815486907959]"
2,"[-1.4081333875656128, -1.407192587852478, -1.4027931690216064, -1.4071273803710938, -1.4288229942321777, -1.4303410053253174, -1.4306809902191162, -1.4183231592178345, -1.3910400867462158, -1.3919122219085693, -1.430657982826233, -1.4307198524475098, -1.4263948202133179, -1.3922885656356812, -1.3918070793151855, -1.4080438613891602, -1.4298384189605713, -1.4299808740615845, -1.393322229385376, -1.3922920227050781, -2.2385447025299072, -2.202430009841919, -2.1995041370391846, -2.199831247329712, -2.2377769947052, -2.2384932041168213, -2.2387771606445312, -2.2383885383605957, -2.2384192943573, -2.238635540008545, -2.2391905784606934, -2.201228618621826, -2.1998817920684814, -2.1995928287506104, -2.1994965076446533, -2.2388153076171875, -2.2390685081481934, -2.2384395599365234, -2.200425624847412, -2.199899196624756, -2.988407850265503, -3.0254831314086914, -3.026818037033081, -3.027522325515747, -3.027752637863159, -3.027630567550659, -3.027621030807495, -3.0274600982666016, -3.026754856109619, -2.999361276626587, -2.99029803276062, -2.9893102645874023, -2.9895012378692627, -3.00270938873291, -3.0281665325164795, -3.0281052589416504, -3.028074026107788, -3.0280356407165527, -2.988157033920288, -3.00815486907959]"
3,"[-1.4134279489517212, -1.4114835262298584, -1.40244722366333, -1.4109160900115967, -1.435838222503662, -1.439321517944336, -1.439517855644226, -1.4121930599212646, -1.381328821182251, -1.3824257850646973, -1.4393301010131836, -1.4405651092529297, -1.4339104890823364, -1.3832672834396362, -1.382377028465271, -1.4090367555618286, -1.4389086961746216, -1.4392931461334229, -1.3854142427444458, -1.3833805322647095, -2.247994899749756, -2.1941823959350586, -2.1898303031921387, -2.190218925476074, -2.2469661235809326, -2.248093843460083, -2.248553514480591, -2.2478954792022705, -2.24796724319458, -2.248208999633789, -2.247865676879883, -2.1966116428375244, -2.190695285797119, -2.1899337768554688, -2.190072536468506, -2.248565435409546, -2.248908519744873, -2.2474007606506348, -2.191497802734375, -2.1903886795043945, -2.984990119934082, -3.032766819000244, -3.0357162952423096, -3.0369975566864014, -3.0374083518981934, -3.03729510307312, -3.037311315536499, -3.0370588302612305, -3.035907506942749, -3.001386880874634, -2.981661319732666, -2.9799916744232178, -2.9803295135498047, -3.0083863735198975, -3.0381977558135986, -3.0380914211273193, -3.0380289554595947, -3.037924289703369, -2.978166341781616, -3.00815486907959]"
4,"[-1.4172098636627197, -1.4146648645401, -1.4068832397460938, -1.4085744619369507, -1.441711187362671, -1.4479360580444336, -1.4479812383651733, -1.4051557779312134, -1.371740460395813, -1.373328447341919, -1.4476135969161987, -1.4495617151260376, -1.4389216899871826, -1.3745673894882202, -1.373640775680542, -1.41337251663208, -1.447391390800476, -1.4477379322052002, -1.3768476247787476, -1.3749618530273438, -2.252678632736206, -2.1858925819396973, -2.1802823543548584, -2.1826186180114746, -2.25577712059021, -2.2578647136688232, -2.2584478855133057, -2.257593870162964, -2.2575836181640625, -2.2556331157684326, -2.2488768100738525, -2.1900293827056885, -2.1813313961029053, -2.1804754734039307, -2.1815528869628906, -2.2532026767730713, -2.2516589164733887, -2.244849920272827, -2.182162284851074, -2.1843173503875732, -2.9898273944854736, -3.040168046951294, -3.0440447330474854, -3.046489715576172, -3.046795129776001, -3.0456223487854004, -3.04547119140625, -3.046027421951294, -3.0448861122131348, -2.999095916748047, -2.9725310802459717, -2.970402717590332, -2.9708573818206787, -3.014277458190918, -3.0482120513916016, -3.048055410385132, -3.0479650497436523, -3.0478055477142334, -2.968172073364258, -3.00815486907959]"
5,"[-1.4224834442138672, -1.419077754020691, -1.413454294204712, -1.408015489578247, -1.4490851163864136, -1.4570075273513794, -1.4569388628005981, -1.402000069618225, -1.3626859188079834, -1.3644722700119019, -1.4554345607757568, -1.4578746557235718, -1.4422498941421509, -1.3659919500350952, -1.365256667137146, -1.4196383953094482, -1.4556089639663696, -1.4557831287384033, -1.3678345680236816, -1.3665798902511597, -2.254328966140747, -2.1773111820220947, -2.171119213104248, -2.176496982574463, -2.2648229598999023, -2.2677619457244873, -2.268333673477173, -2.2674355506896973, -2.2671926021575928, -2.263704538345337, -2.2533817291259766, -2.1829185485839844, -2.1721649169921875, -2.171816349029541, -2.173170328140259, -2.2597122192382812, -2.256852388381958, -2.244407892227173, -2.1725847721099854, -2.1768782138824463, -2.991905689239502, -3.04703950881958, -3.052029848098755, -3.0561273097991943, -3.0562636852264404, -3.0543293952941895, -3.0540456771850586, -3.0549912452697754, -3.053760290145874, -3.0011634826660156, -2.963315010070801, -2.9607112407684326, -2.961317777633667, -3.021636962890625, -3.058281421661377, -3.0580499172210693, -3.0578699111938477, -3.0574843883514404, -2.958159923553467, -3.00815486907959]"
6,"[-1.4274643659591675, -1.4233574867248535, -1.4202518463134766, -1.4095410108566284, -1.4560248851776123, -1.4648058414459229, -1.4643754959106445, -1.3983631134033203, -1.3551243543624878, -1.357925534248352, -1.4624358415603638, -1.4652106761932373, -1.4446427822113037, -1.3581945896148682, -1.3578503131866455, -1.4269589185714722, -1.4630310535430908, -1.4630722999572754, -1.3594449758529663, -1.3587381839752197, -2.255095958709717, -2.168264627456665, -2.1624960899353027, -2.1731860637664795, -2.2740330696105957, -2.2777280807495117, -2.278256416320801, -2.2772505283355713, -2.276681423187256, -2.272174835205078, -2.2595481872558594, -2.174887180328369, -2.1631879806518555, -2.1629369258880615, -2.1644551753997803, -2.2662320137023926, -2.261488914489746, -2.2419440746307373, -2.1628193855285645, -2.169626474380493, -2.9922876358032227, -3.0545215606689453, -3.0604145526885986, -3.0658209323883057, -3.065856695175171, -3.0632989406585693, -3.0630075931549072, -3.0643019676208496, -3.0630197525024414, -3.003826856613159, -2.95381236076355, -2.950871229171753, -2.951658248901367, -3.0298495292663574, -3.068408727645874, -3.0680856704711914, -3.0677835941314697, -3.0671186447143555, -2.948117971420288, -3.00815486907959]"
7,"[-1.4262802600860596, -1.4196512699127197, -1.4164501428604126, -1.4048480987548828, -1.4543424844741821, -1.4653418064117432, -1.4648396968841553, -1.3927139043807983, -1.3468743562698364, -1.3502912521362305, -1.4703588485717773, -1.472771406173706, -1.4406481981277466, -1.350281000137329, -1.3498728275299072, -1.4328027963638306, -1.470897912979126, -1.4709241390228271, -1.351685643196106, -1.3510483503341675, -2.2601780891418457, -2.170409679412842, -2.1534583568573, -2.1675944328308105, -2.2828752994537354, -2.2876741886138916, -2.288205623626709, -2.287194013595581, -2.286369800567627, -2.2811315059661865, -2.266939640045166, -2.168342113494873, -2.1551430225372314, -2.1554746627807617, -2.1592047214508057, -2.273808002471924, -2.26700496673584, -2.2400219440460205, -2.153280019760132, -2.162454128265381, -2.9936320781707764, -3.0618369579315186, -3.0689737796783447, -3.075591802597046, -3.075505018234253, -3.0722477436065674, -3.0718419551849365, -3.0734386444091797, -3.0720531940460205, -3.005253314971924, -2.944098472595215, -2.940911054611206, -2.9418468475341797, -3.037834405899048, -3.078451633453369, -3.0780751705169678, -3.0776658058166504, -3.0766937732696533, -2.9381072521209717, -3.00815486907959]"
8,"[-1.425356388092041, -1.416383981704712, -1.4131006002426147, -1.4008902311325073, -1.4534895420074463, -1.4661824703216553, -1.4650756120681763, -1.3870006799697876, -1.3394122123718262, -1.344973087310791, -1.4781396389007568, -1.479562759399414, -1.4360121488571167, -1.3425992727279663, -1.342092514038086, -1.438793659210205, -1.4787123203277588, -1.4787089824676514, -1.3437154293060303, -1.3433631658554077, -2.26269793510437, -2.1710848808288574, -2.1448287963867188, -2.166586399078369, -2.2914557456970215, -2.297434091567993, -2.29826021194458, -2.297247886657715, -2.29624342918396, -2.290438175201416, -2.27512264251709, -2.1609585285186768, -2.146531343460083, -2.147418737411499, -2.1530723571777344, -2.281888961791992, -2.273207426071167, -2.2384297847747803, -2.1435868740081787, -2.1548104286193848, -2.9949991703033447, -3.0687692165374756, -3.07749080657959, -3.085339307785034, -3.0852391719818115, -3.0814318656921387, -3.0809528827667236, -3.082834482192993, -3.0813941955566406, -3.008294105529785, -2.9343137741088867, -2.9309229850769043, -2.9320261478424072, -3.0464062690734863, -3.0885181427001953, -3.088042974472046, -3.0875024795532227, -3.0861737728118896, -2.928076982498169, -3.00815486907959]"
9,"[-1.4250396490097046, -1.413814663887024, -1.4104851484298706, -1.3978122472763062, -1.4533861875534058, -1.467494249343872, -1.4655567407608032, -1.3816438913345337, -1.3324880599975586, -1.3402019739151, -1.4855574369430542, -1.485879898071289, -1.431402564048767, -1.3352179527282715, -1.334433674812317, -1.4446971416473389, -1.4862416982650757, -1.4861817359924316, -1.335727334022522, -1.3358427286148071, -2.2642366886138916, -2.170903444290161, -2.1373281478881836, -2.1684751510620117, -2.3003101348876953, -2.3072049617767334, -2.3084349632263184, -2.3071353435516357, -2.305917501449585, -2.299912691116333, -2.2838070392608643, -2.15301775932312, -2.1375768184661865, -2.1387569904327393, -2.145764112472534, -2.29014253616333, -2.2795426845550537, -2.2346248626708984, -2.1337502002716064, -2.1471760272979736, -2.9958717823028564, -3.076627731323242, -3.086397886276245, -3.095263719558716, -3.0951266288757324, -3.0908427238464355, -3.090395927429199, -3.092477321624756, -3.090928792953491, -3.0116727352142334, -2.9246604442596436, -2.920902729034424, -2.9220643043518066, -3.055449962615967, -3.098700761795044, -3.0980899333953857, -3.0973451137542725, -3.095510482788086, -2.918029308319092, -3.00815486907959]"
10,"[-1.4255151748657227, -1.4113458395004272, -1.408402681350708, -1.3953782320022583, -1.453579068183899, -1.470422387123108, -1.467509150505066, -1.3776016235351562, -1.3254774808883667, -1.337907314300537, -1.493560552597046, -1.4912291765213013, -1.4251453876495361, -1.3272552490234375, -1.3265621662139893, -1.4518253803253174, -1.494476318359375, -1.4943374395370483, -1.3271483182907104, -1.3275703191757202, -2.2630884647369385, -2.1723673343658447, -2.132100820541382, -2.1711511611938477, -2.309541940689087, -2.3171539306640625, -2.3186492919921875, -2.3170528411865234, -2.315729856491089, -2.30964732170105, -2.2928659915924072, -2.1458890438079834, -2.1286864280700684, -2.129844903945923, -2.138244152069092, -2.2989261150360107, -2.2869880199432373, -2.2331488132476807, -2.1237547397613525, -2.138871192932129, -2.9980623722076416, -3.0846550464630127, -3.09517765045166, -3.105140209197998, -3.10514235496521, -3.100501775741577, -3.100083589553833, -3.102325201034546, -3.1007044315338135, -3.016925811767578, -2.915055274963379, -2.9109394550323486, -2.9122095108032227, -3.0648512840270996, -3.1088764667510986, -3.1080691814422607, -3.1070876121520996, -3.1046833992004395, -2.9080357551574707, -3.00815486907959]"
