1,"[-1.4009870290756226, -1.4009870290756226, -1.4209868907928467, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4009870290756226, -1.4009870290756226, -1.4009870290756226, -1.4009870290756226, -1.4009870290756226, -1.4009870290756226, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4009870290756226, -1.4009870290756226, -2.2092034816741943, -2.2092034816741943, -2.2092034816741943, -2.229203462600708, -2.229203462600708, -2.2092034816741943, -2.2092044353485107, -2.229203462600708, -2.229203462600708, -2.229203462600708, -2.229203462600708, -2.229203462600708, -2.22920298576355, -2.229203462600708, -2.229203462600708, -2.229203462600708, -2.229203462600708, -2.229203462600708, -2.229203462600708, -2.229203462600708, -3.0181548595428467, -2.998154878616333, -3.0181548595428467, -2.998154878616333, -3.0181548595428467, -2.998154878616333, -3.0181548595428467, -2.998154878616333, -3.0181548595428467, -2.998154878616333, -3.0181548595428467, -2.998154878616333, -3.0181548595428467, -2.998154878616333, -3.0181548595428467, -2.998154878616333, -2.998155355453491, -3.0181546211242676, -2.998154878616333, -3.00815486907959]"
1,"[-1.3966381549835205, -1.3995281457901, -1.4290491342544556, -1.4305357933044434, -1.4225685596466064, -1.4305039644241333, -1.4309983253479004, -1.4307122230529785, -1.4266917705535889, -1.3925143480300903, -1.3970601558685303, -1.3913992643356323, -1.3909823894500732, -1.390979528427124, -1.390974521636963, -1.4309611320495605, -1.4309239387512207, -1.4308686256408691, -1.3910536766052246, -1.3911916017532349, -2.201918601989746, -2.2005808353424072, -2.2007575035095215, -2.2366340160369873, -2.2384495735168457, -2.1993565559387207, -2.201110601425171, -2.2387146949768066, -2.238431215286255, -2.2392168045043945, -2.2370975017547607, -2.2357852458953857, -2.2377476692199707, -2.2389774322509766, -2.2356042861938477, -2.2329301834106445, -2.2382311820983887, -2.2383036613464355, -2.237258195877075, -2.237347364425659, -3.028151750564575, -2.992008686065674, -3.0273730754852295, -2.990996837615967, -3.0222480297088623, -2.9920053482055664, -3.024531602859497, -2.992075204849243, -3.0245585441589355, -2.9917402267456055, -3.022918224334717, -2.990738868713379, -3.0244195461273193, -2.997648000717163, -3.0245306491851807, -2.9927334785461426, -2.9887044429779053, -3.028064489364624, -2.9881412982940674, -3.00815486907959]"
1,"[-1.3930416107177734, -1.3985761404037476, -1.436104416847229, -1.4387961626052856, -1.4258525371551514, -1.4396110773086548, -1.4399256706237793, -1.4392940998077393, -1.4330955743789673, -1.3896440267562866, -1.3961143493652344, -1.3841489553451538, -1.3816711902618408, -1.3812874555587769, -1.380996823310852, -1.440345048904419, -1.4405715465545654, -1.4406766891479492, -1.3813875913619995, -1.3817112445831299, -2.2031760215759277, -2.19291615486145, -2.1925528049468994, -2.235894203186035, -2.2460217475891113, -2.1895883083343506, -2.192563533782959, -2.2483878135681152, -2.2479186058044434, -2.2489895820617676, -2.2437562942504883, -2.241030693054199, -2.246549606323242, -2.246582269668579, -2.239173650741577, -2.2347731590270996, -2.2465531826019287, -2.2459444999694824, -2.2445735931396484, -2.244400978088379, -3.0378847122192383, -2.986759901046753, -3.036238670349121, -2.9850618839263916, -3.0268630981445312, -2.9872071743011475, -3.029421329498291, -2.9874770641326904, -3.029496908187866, -2.9869747161865234, -3.025299072265625, -2.9852216243743896, -3.028637647628784, -3.0014455318450928, -3.0284674167633057, -2.9906365871429443, -2.9875340461730957, -3.037452459335327, -2.9783921241760254, -3.00815486907959]"
2,"[-1.390368103981018, -1.3986417055130005, -1.4424989223480225, -1.445866584777832, -1.4290366172790527, -1.4477413892745972, -1.4481199979782104, -1.4471131563186646, -1.4388121366500854, -1.3888267278671265, -1.3968514204025269, -1.377726435661316, -1.372719645500183, -1.3716237545013428, -1.3711656332015991, -1.4482120275497437, -1.4501206874847412, -1.4505788087844849, -1.371845006942749, -1.3723539113998413, -2.207556962966919, -2.1868245601654053, -2.185817241668701, -2.2333805561065674, -2.25124192237854, -2.180765151977539, -2.184896945953369, -2.2569315433502197, -2.2561326026916504, -2.2571723461151123, -2.249262809753418, -2.245304822921753, -2.2530629634857178, -2.2526891231536865, -2.242032766342163, -2.236570119857788, -2.25372314453125, -2.2520172595977783, -2.249793529510498, -2.2476208209991455, -3.044644594192505, -2.98183274269104, -3.0430636405944824, -2.980161666870117, -3.033473014831543, -2.9830946922302246, -3.033566474914551, -2.9834465980529785, -3.0336921215057373, -2.983074903488159, -3.0272445678710938, -2.9806153774261475, -3.0320630073547363, -3.0048718452453613, -3.0322418212890625, -2.989262580871582, -2.988726854324341, -3.0426299571990967, -2.969097852706909, -3.00815486907959]"
2,"[-1.388715147972107, -1.399807333946228, -1.4485167264938354, -1.4522831439971924, -1.4326680898666382, -1.4551973342895508, -1.4554253816604614, -1.454031229019165, -1.4448306560516357, -1.391344428062439, -1.3996726274490356, -1.3717987537384033, -1.3635755777359009, -1.3618685007095337, -1.3614370822906494, -1.4566590785980225, -1.4598228931427002, -1.4605563879013062, -1.3621346950531006, -1.3628156185150146, -2.213315963745117, -2.1826508045196533, -2.18056058883667, -2.229917287826538, -2.2545857429504395, -2.1715831756591797, -2.17679500579834, -2.2632060050964355, -2.263443946838379, -2.2638046741485596, -2.2540204524993896, -2.2493271827697754, -2.2568917274475098, -2.253873348236084, -2.2390384674072266, -2.2343437671661377, -2.261873245239258, -2.25754714012146, -2.253847122192383, -2.248966693878174, -3.0501136779785156, -2.977966070175171, -3.048569917678833, -2.9759647846221924, -3.037977933883667, -2.979769468307495, -3.037027359008789, -2.980020761489868, -3.0372886657714844, -2.9797637462615967, -3.0288827419281006, -2.976552963256836, -3.034637928009033, -3.0077083110809326, -3.035712718963623, -2.9883980751037598, -2.9903757572174072, -3.0433602333068848, -2.9598422050476074, -3.00815486907959]"
2,"[-1.3874911069869995, -1.4012383222579956, -1.4541114568710327, -1.4580857753753662, -1.4366915225982666, -1.4621918201446533, -1.4620847702026367, -1.460319995880127, -1.4506409168243408, -1.3942227363586426, -1.4023313522338867, -1.3656316995620728, -1.3548214435577393, -1.3527231216430664, -1.352427363395691, -1.4646589756011963, -1.4688605070114136, -1.4697518348693848, -1.3529006242752075, -1.353952407836914, -2.219571352005005, -2.179205894470215, -2.1758317947387695, -2.225870132446289, -2.2566404342651367, -2.1625874042510986, -2.16870379447937, -2.268411874771118, -2.269686698913574, -2.2694435119628906, -2.2580435276031494, -2.252593517303467, -2.259645462036133, -2.25472354888916, -2.236298084259033, -2.2322916984558105, -2.2689430713653564, -2.2622578144073486, -2.257119655609131, -2.249634265899658, -3.054840564727783, -2.974691152572632, -3.053313970565796, -2.9723572731018066, -3.0419669151306152, -2.976898193359375, -3.040015697479248, -2.977062702178955, -3.0403923988342285, -2.976874351501465, -3.030277729034424, -2.9729130268096924, -3.0368378162384033, -3.0100667476654053, -3.0391147136688232, -2.9878005981445312, -2.9902546405792236, -3.040942430496216, -2.9508399963378906, -3.00815486907959]"
3,"[-1.3864071369171143, -1.4025710821151733, -1.458884596824646, -1.4630682468414307, -1.4403165578842163, -1.4683032035827637, -1.467890977859497, -1.4657912254333496, -1.4557102918624878, -1.3967268466949463, -1.404657244682312, -1.360243797302246, -1.3471616506576538, -1.3447163105010986, -1.3445250988006592, -1.471641182899475, -1.4767651557922363, -1.4777953624725342, -1.3448127508163452, -1.3461964130401611, -2.224609613418579, -2.1762616634368896, -2.1717476844787598, -2.220982313156128, -2.2573657035827637, -2.1549112796783447, -2.161728620529175, -2.2722814083099365, -2.275233268737793, -2.2743465900421143, -2.261319160461426, -2.255098819732666, -2.26181697845459, -2.255601167678833, -2.23254656791687, -2.2297284603118896, -2.2763452529907227, -2.266676902770996, -2.2602360248565674, -2.250741720199585, -3.0583713054656982, -2.9713845252990723, -3.057210922241211, -2.969447612762451, -3.040574073791504, -2.9746768474578857, -3.0424468517303467, -2.976158857345581, -3.042905330657959, -2.9744367599487305, -3.031512498855591, -2.9698903560638428, -3.038257122039795, -3.0122342109680176, -3.041918992996216, -2.987638235092163, -2.9909567832946777, -3.0369176864624023, -2.943068265914917, -3.00815486907959]"
3,"[-1.3855386972427368, -1.4037541151046753, -1.4631805419921875, -1.4675564765930176, -1.4437484741210938, -1.47378671169281, -1.4730863571166992, -1.470700979232788, -1.4604058265686035, -1.3993648290634155, -1.4070448875427246, -1.355237603187561, -1.3400498628616333, -1.337311029434204, -1.3372174501419067, -1.4781192541122437, -1.4840526580810547, -1.4851516485214233, -1.3372184038162231, -1.339034914970398, -2.2298285961151123, -2.1738901138305664, -2.1681206226348877, -2.216195583343506, -2.257902145385742, -2.1471803188323975, -2.1546802520751953, -2.275540828704834, -2.2800793647766113, -2.2785587310791016, -2.2641067504882812, -2.256958484649658, -2.2632858753204346, -2.2562055587768555, -2.228705883026123, -2.227210760116577, -2.2831883430480957, -2.2705466747283936, -2.262857675552368, -2.251594066619873, -3.0614960193634033, -2.968677043914795, -3.060556650161743, -2.966888666152954, -3.039341449737549, -2.9727625846862793, -3.044585704803467, -2.975497245788574, -3.04504656791687, -2.9723312854766846, -3.032559633255005, -2.9670920372009277, -3.039447546005249, -3.0140950679779053, -3.044652223587036, -2.987370014190674, -2.9903736114501953, -3.0314271450042725, -2.935797929763794, -3.00815486907959]"
3,"[-1.3846735954284668, -1.4049066305160522, -1.4672108888626099, -1.4717131853103638, -1.4468270540237427, -1.4786522388458252, -1.4777237176895142, -1.4750983715057373, -1.4646811485290527, -1.4020295143127441, -1.4094582796096802, -1.350701928138733, -1.3334661722183228, -1.3304355144500732, -1.3304224014282227, -1.484160304069519, -1.490815281867981, -1.491948127746582, -1.3300060033798218, -1.3323602676391602, -2.2341208457946777, -2.171398639678955, -2.1648778915405273, -2.212031841278076, -2.259035110473633, -2.139265298843384, -2.1473147869110107, -2.2785065174102783, -2.2839596271514893, -2.2820091247558594, -2.2665834426879883, -2.258502960205078, -2.2628543376922607, -2.2555646896362305, -2.2244341373443604, -2.2242302894592285, -2.290438652038574, -2.2744312286376953, -2.2654144763946533, -2.2516095638275146, -3.0647196769714355, -2.965334177017212, -3.0639801025390625, -2.9646146297454834, -3.038031816482544, -2.97098708152771, -3.046525478363037, -2.974665403366089, -3.0468616485595703, -2.970468282699585, -3.0334243774414062, -2.964411497116089, -3.040438652038574, -3.0158259868621826, -3.0472800731658936, -2.9871902465820312, -2.987975597381592, -3.024763584136963, -2.928884506225586, -3.00815486907959]"
4,"[-1.383894681930542, -1.4054126739501953, -1.4706090688705444, -1.47530996799469, -1.4492865800857544, -1.482896327972412, -1.4818687438964844, -1.4791377782821655, -1.4687354564666748, -1.4045788049697876, -1.4116430282592773, -1.3463128805160522, -1.3273980617523193, -1.3241736888885498, -1.3243510723114014, -1.4897161722183228, -1.4969401359558105, -1.4979491233825684, -1.3233073949813843, -1.3262454271316528, -2.239649772644043, -2.1697418689727783, -2.162036895751953, -2.2075254917144775, -2.2592923641204834, -2.1317663192749023, -2.14009165763855, -2.2792534828186035, -2.2873640060424805, -2.285137414932251, -2.268627405166626, -2.2597594261169434, -2.2619173526763916, -2.2546865940093994, -2.220323085784912, -2.2218971252441406, -2.2978734970092773, -2.277841329574585, -2.2675399780273438, -2.2513463497161865, -3.067023754119873, -2.962318181991577, -3.0665788650512695, -2.962733507156372, -3.0359015464782715, -2.969233989715576, -3.048285961151123, -2.9736297130584717, -3.0485191345214844, -2.968775510787964, -3.0341856479644775, -2.9618706703186035, -3.041193962097168, -3.0169456005096436, -3.0501208305358887, -2.987074136734009, -2.9859745502471924, -3.017432451248169, -2.9223217964172363, -3.00815486907959]"
