1,"[-1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4209867715835571, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.400987148284912, -1.4009870290756226, -1.4009870290756226, -1.4009870290756226, -1.4009870290756226, -1.4009870290756226, -1.4009870290756226, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4009870290756226, -1.4009870290756226, -2.229203462600708, -2.229203224182129, -2.2092061042785645, -2.2092037200927734, -2.2092039585113525, -2.2092041969299316, -2.20920467376709, -2.209207057952881, -2.2092063426971436, -2.209207534790039, -2.2092058658599854, -2.209205150604248, -2.209204912185669, -2.2092044353485107, -2.20920467376709, -2.2292022705078125, -2.22920298576355, -2.2292027473449707, -2.2092037200927734, -2.2092034816741943, -2.998156785964966, -2.9981558322906494, -2.998157024383545, -2.998155117034912, -2.998155355453491, -2.9981555938720703, -2.9981560707092285, -2.998155355453491, -2.9981563091278076, -2.9981601238250732, -3.0181496143341064, -3.018152952194214, -2.998159170150757, -2.9981563091278076, -2.9981579780578613, -3.0181541442871094, -3.0181543827056885, -3.0181543827056885, -2.998154878616333, -3.00815486907959]"
1,"[-1.4293146133422852, -1.4305317401885986, -1.4285426139831543, -1.4296623468399048, -1.429819941520691, -1.4286456108093262, -1.4301427602767944, -1.4283905029296875, -1.3915081024169922, -1.3994312286376953, -1.4041645526885986, -1.3918076753616333, -1.3910913467407227, -1.3912115097045898, -1.3913911581039429, -1.430978536605835, -1.4308916330337524, -1.430874228477478, -1.3911548852920532, -1.3910198211669922, -2.238318920135498, -2.237095832824707, -2.2165799140930176, -2.201077699661255, -2.2003824710845947, -2.200601100921631, -2.2014667987823486, -2.21640944480896, -2.216449499130249, -2.21638822555542, -2.216365337371826, -2.2016241550445557, -2.201662302017212, -2.2014031410217285, -2.209510326385498, -2.2376132011413574, -2.223856210708618, -2.2221388816833496, -2.2014238834381104, -2.201188325881958, -2.990701198577881, -2.9906485080718994, -2.990713357925415, -2.9905567169189453, -3.0053975582122803, -2.9906117916107178, -3.005559206008911, -3.005138397216797, -2.989929437637329, -2.990684747695923, -3.0256521701812744, -3.0107805728912354, -3.005575656890869, -2.9901039600372314, -3.0053958892822266, -3.0125341415405273, -3.0137853622436523, -3.0280709266662598, -2.9884378910064697, -3.00815486907959]"
1,"[-1.435389518737793, -1.4379703998565674, -1.4340842962265015, -1.4360181093215942, -1.4366360902786255, -1.4348926544189453, -1.4381260871887207, -1.4355762004852295, -1.3861589431762695, -1.4001445770263672, -1.4081354141235352, -1.3835097551345825, -1.381584644317627, -1.3816481828689575, -1.3816192150115967, -1.4401472806930542, -1.440617561340332, -1.440753698348999, -1.3813728094100952, -1.3810588121414185, -2.2432332038879395, -2.2429282665252686, -2.2188050746917725, -2.1943602561950684, -2.1934878826141357, -2.1944284439086914, -2.194443702697754, -2.2246832847595215, -2.224210739135742, -2.214114189147949, -2.2146730422973633, -2.193662405014038, -2.1948232650756836, -2.201388359069824, -2.215902328491211, -2.2371232509613037, -2.216280698776245, -2.2160327434539795, -2.19614577293396, -2.195953130722046, -2.9856255054473877, -2.9855852127075195, -2.985849142074585, -2.9887006282806396, -3.0123777389526367, -2.983269691467285, -3.012938976287842, -3.0046393871307373, -2.981013059616089, -2.9890222549438477, -3.025063991546631, -3.0070488452911377, -3.008167266845703, -2.981384038925171, -3.012075901031494, -3.0158684253692627, -3.0067451000213623, -3.036344051361084, -2.978691816329956, -3.00815486907959]"
2,"[-1.4407649040222168, -1.4448000192642212, -1.4389095306396484, -1.44174325466156, -1.4441014528274536, -1.4404386281967163, -1.4448096752166748, -1.441426396369934, -1.3839576244354248, -1.4044729471206665, -1.4143011569976807, -1.375815749168396, -1.3718825578689575, -1.3719226121902466, -1.3717409372329712, -1.4495409727096558, -1.4502626657485962, -1.4500131607055664, -1.3715667724609375, -1.3711742162704468, -2.2486319541931152, -2.248319149017334, -2.2206058502197266, -2.1875593662261963, -2.1859495639801025, -2.1876869201660156, -2.1882429122924805, -2.2312731742858887, -2.2304627895355225, -2.212017774581909, -2.212827205657959, -2.1865453720092773, -2.188814878463745, -2.200716257095337, -2.2212319374084473, -2.238877773284912, -2.2106401920318604, -2.210480213165283, -2.1910600662231445, -2.190915107727051, -2.9814813137054443, -2.9814701080322266, -2.9818625450134277, -2.9872729778289795, -3.017963171005249, -2.977184772491455, -3.018993854522705, -3.0039210319519043, -2.973184585571289, -2.9873430728912354, -3.0242130756378174, -3.0038514137268066, -3.0102341175079346, -2.9740912914276123, -3.0184743404388428, -3.018986225128174, -3.000335693359375, -3.040114641189575, -2.96970796585083, -3.00815486907959]"
2,"[-1.4454158544540405, -1.4507218599319458, -1.4430807828903198, -1.4466921091079712, -1.4507102966308594, -1.445178747177124, -1.4504603147506714, -1.4462779760360718, -1.3824819326400757, -1.40886652469635, -1.4200851917266846, -1.3686751127243042, -1.3630887269973755, -1.3631987571716309, -1.3629802465438843, -1.4579919576644897, -1.4589221477508545, -1.4583501815795898, -1.3626700639724731, -1.3622344732284546, -2.253599166870117, -2.2530581951141357, -2.222223997116089, -2.181525468826294, -2.1789803504943848, -2.1817615032196045, -2.1828205585479736, -2.236288547515869, -2.2352046966552734, -2.209538698196411, -2.2105634212493896, -2.1801812648773193, -2.1834633350372314, -2.2000200748443604, -2.2259562015533447, -2.2400617599487305, -2.206181049346924, -2.2057876586914062, -2.186588764190674, -2.186436653137207, -2.9777958393096924, -2.977499485015869, -2.978442430496216, -2.984327554702759, -3.02272891998291, -2.971036911010742, -3.025135040283203, -3.0028607845306396, -2.97082781791687, -2.984947919845581, -3.0229175090789795, -3.0012025833129883, -3.01187801361084, -2.967392683029175, -3.024742603302002, -3.021944999694824, -2.9938554763793945, -3.040238857269287, -2.9615941047668457, -3.00815486907959]"
2,"[-1.4487028121948242, -1.4546728134155273, -1.4463739395141602, -1.450945258140564, -1.4557336568832397, -1.4500203132629395, -1.4558461904525757, -1.4508090019226074, -1.3817555904388428, -1.4133328199386597, -1.4256937503814697, -1.361165165901184, -1.3545376062393188, -1.3548779487609863, -1.3544807434082031, -1.465770959854126, -1.4669463634490967, -1.4662121534347534, -1.3544179201126099, -1.3539890050888062, -2.252322196960449, -2.2545528411865234, -2.2206108570098877, -2.174661159515381, -2.171319007873535, -2.174712657928467, -2.1765060424804688, -2.242694139480591, -2.2416534423828125, -2.2114615440368652, -2.2119157314300537, -2.1758341789245605, -2.17877459526062, -2.197679042816162, -2.2325761318206787, -2.2453808784484863, -2.204828977584839, -2.201103925704956, -2.181964635848999, -2.182880163192749, -2.976660966873169, -2.9798600673675537, -2.9749960899353027, -2.9888949394226074, -3.02351975440979, -2.9732460975646973, -3.023064374923706, -3.0045697689056396, -2.965313673019409, -2.987898826599121, -3.026897430419922, -2.997269868850708, -3.014404296875, -2.9601757526397705, -3.031257152557373, -3.0245327949523926, -2.987816572189331, -3.0372235774993896, -2.9536614418029785, -3.00815486907959]"
3,"[-1.451615571975708, -1.4581738710403442, -1.4493074417114258, -1.4547454118728638, -1.4608110189437866, -1.454563856124878, -1.4606050252914429, -1.4544250965118408, -1.3808070421218872, -1.4180619716644287, -1.4315751791000366, -1.3545702695846558, -1.3463000059127808, -1.3468186855316162, -1.3463422060012817, -1.4735007286071777, -1.474956750869751, -1.4739601612091064, -1.345959186553955, -1.345646858215332, -2.25199818611145, -2.2561514377593994, -2.219083309173584, -2.167955160140991, -2.163367748260498, -2.1676180362701416, -2.1704113483428955, -2.2481958866119385, -2.2472567558288574, -2.2128329277038574, -2.2127439975738525, -2.171602725982666, -2.1743903160095215, -2.195302963256836, -2.238507032394409, -2.2503252029418945, -2.2037322521209717, -2.1965129375457764, -2.1774230003356934, -2.179253339767456, -2.9756720066070557, -2.98193621635437, -2.971987247467041, -2.992866039276123, -3.0243234634399414, -2.9751570224761963, -3.021242618560791, -3.005943536758423, -2.9603772163391113, -2.9904367923736572, -3.030304431915283, -2.9937398433685303, -3.016512155532837, -2.9537577629089355, -3.0373051166534424, -3.026806354522705, -2.9812893867492676, -3.0327351093292236, -2.945991277694702, -3.00815486907959]"
3,"[-1.4542986154556274, -1.4611459970474243, -1.4518896341323853, -1.4582090377807617, -1.4661831855773926, -1.4587842226028442, -1.4648394584655762, -1.4574295282363892, -1.379818081855774, -1.422924518585205, -1.4373899698257446, -1.34803307056427, -1.3383610248565674, -1.3391607999801636, -1.339003562927246, -1.4810888767242432, -1.482666254043579, -1.4811241626739502, -1.3375095129013062, -1.3374661207199097, -2.2522971630096436, -2.257585048675537, -2.217167377471924, -2.160757541656494, -2.154782295227051, -2.159745693206787, -2.1639554500579834, -2.252553939819336, -2.252756357192993, -2.216139793395996, -2.212783098220825, -2.1672186851501465, -2.1703453063964844, -2.1915910243988037, -2.2446844577789307, -2.2559328079223633, -2.206775665283203, -2.1923186779022217, -2.172625780105591, -2.175478219985962, -2.9755749702453613, -2.985008716583252, -2.969468593597412, -2.9974923133850098, -3.0244388580322266, -2.9780309200286865, -3.018430233001709, -3.0087058544158936, -2.955690383911133, -2.994565963745117, -3.0317275524139404, -2.990042209625244, -3.017934560775757, -2.9502065181732178, -3.0426158905029297, -3.0288145542144775, -2.976128339767456, -3.0269484519958496, -2.938615560531616, -3.00815486907959]"
3,"[-1.4568034410476685, -1.4639227390289307, -1.4542977809906006, -1.4614758491516113, -1.4720921516418457, -1.4629820585250854, -1.4688256978988647, -1.4601988792419434, -1.3786203861236572, -1.4278359413146973, -1.4431639909744263, -1.3414974212646484, -1.3306986093521118, -1.3318582773208618, -1.3320144414901733, -1.488315463066101, -1.4899227619171143, -1.4876283407211304, -1.3292007446289062, -1.3295334577560425, -2.253105401992798, -2.259101390838623, -2.2154550552368164, -2.153855800628662, -2.146193742752075, -2.1520254611968994, -2.1577014923095703, -2.2562575340270996, -2.2575876712799072, -2.2189602851867676, -2.212785243988037, -2.163015127182007, -2.16650652885437, -2.1879003047943115, -2.250368356704712, -2.261253595352173, -2.2097415924072266, -2.188316583633423, -2.168076276779175, -2.1717536449432373, -2.9754912853240967, -2.987745523452759, -2.9672598838806152, -3.00154185295105, -3.0244975090026855, -2.9805850982666016, -3.0159244537353516, -3.011110544204712, -2.9513187408447266, -2.998206615447998, -3.0330324172973633, -2.9865829944610596, -3.019247055053711, -2.9467945098876953, -3.0474977493286133, -3.0308899879455566, -2.9706006050109863, -3.020695924758911, -2.931828498840332, -3.00815486907959]"
4,"[-1.4601294994354248, -1.4672876596450806, -1.4573358297348022, -1.4643704891204834, -1.4779044389724731, -1.4673787355422974, -1.4724606275558472, -1.4622520208358765, -1.3766428232192993, -1.4325823783874512, -1.4487887620925903, -1.335147500038147, -1.3234033584594727, -1.3250417709350586, -1.325400710105896, -1.4948961734771729, -1.4964580535888672, -1.4930049180984497, -1.3213142156600952, -1.3220713138580322, -2.2549469470977783, -2.262608528137207, -2.2147133350372314, -2.1484785079956055, -2.1410586833953857, -2.1482062339782715, -2.154524564743042, -2.262037992477417, -2.2637135982513428, -2.2150442600250244, -2.2092089653015137, -2.1581711769104004, -2.1606268882751465, -2.1820526123046875, -2.2512476444244385, -2.259307861328125, -2.2073521614074707, -2.190211772918701, -2.164513111114502, -2.166121006011963, -2.971349000930786, -2.9844539165496826, -2.964301586151123, -2.9984958171844482, -3.028726577758789, -2.9768614768981934, -3.019540309906006, -3.0075957775115967, -2.9547533988952637, -2.9952175617218018, -3.0319466590881348, -2.985194683074951, -3.0173494815826416, -2.9452385902404785, -3.0484306812286377, -3.0351109504699707, -2.9636921882629395, -3.014101505279541, -2.924980640411377, -3.00815486907959]"
