1,"[-1.4159870147705078, -1.4159867763519287, -1.4159868955612183, -1.4159868955612183, -1.4159866571426392, -1.4159865379333496, -1.4159867763519287, -1.4159867763519287, -1.4159867763519287, -1.4159858226776123, -1.405991554260254, -1.4059873819351196, -1.4059871435165405, -1.4059871435165405, -1.40598726272583, -1.4159868955612183, -1.4159870147705078, -1.4159868955612183, -1.405987024307251, -1.405987024307251, -2.224203109741211, -2.2142035961151123, -2.22420334815979, -2.2142035961151123, -2.2142035961151123, -2.2142040729522705, -2.224203109741211, -2.2242023944854736, -2.2142043113708496, -2.2142038345336914, -2.22420334815979, -2.2142035961151123, -2.2142035961151123, -2.2142035961151123, -2.224202871322632, -2.22420334815979, -2.2242026329040527, -2.2142035961151123, -2.2142035961151123, -2.2142035961151123, -3.003154993057251, -3.0131547451019287, -3.003154754638672, -3.0131547451019287, -3.003154993057251, -3.0131547451019287, -3.003154993057251, -3.0131547451019287, -3.003154993057251, -3.0131547451019287, -3.003154993057251, -3.0131547451019287, -3.003154993057251, -3.0031559467315674, -3.0131542682647705, -3.0031564235687256, -3.0131547451019287, -3.0131547451019287, -3.003154993057251, -3.00815486907959]"
1,"[-1.4207665920257568, -1.4205135107040405, -1.4209901094436646, -1.420767068862915, -1.4206247329711914, -1.4159349203109741, -1.4200204610824585, -1.4180673360824585, -1.4172273874282837, -1.4205400943756104, -1.4095927476882935, -1.4074008464813232, -1.401090383529663, -1.4009939432144165, -1.4009814262390137, -1.4209929704666138, -1.4209928512573242, -1.420949101448059, -1.4012465476989746, -1.4010260105133057, -2.2209413051605225, -2.209803581237793, -2.2290070056915283, -2.209658622741699, -2.2092390060424805, -2.2092862129211426, -2.225955009460449, -2.228266954421997, -2.2172911167144775, -2.2095584869384766, -2.223515748977661, -2.2094876766204834, -2.210019111633301, -2.209817409515381, -2.22843861579895, -2.228755235671997, -2.221115827560425, -2.2092232704162598, -2.209327459335327, -2.2091970443725586, -2.9984500408172607, -3.0165607929229736, -2.998375177383423, -3.0181591510772705, -2.9985718727111816, -3.0176854133605957, -2.9983415603637695, -3.017064094543457, -2.9983246326446533, -3.0181281566619873, -2.9984872341156006, -3.018157958984375, -2.9981508255004883, -2.998800754547119, -3.010207414627075, -3.006693124771118, -3.0181214809417725, -3.0181400775909424, -2.9981749057769775, -3.00815486907959]"
1,"[-1.4255526065826416, -1.4250144958496094, -1.4259971380233765, -1.425138235092163, -1.4222837686538696, -1.4129397869110107, -1.418276309967041, -1.4159328937530518, -1.416482925415039, -1.4243344068527222, -1.4134604930877686, -1.409133791923523, -1.3972424268722534, -1.3970369100570679, -1.3970410823822021, -1.4251281023025513, -1.4251654148101807, -1.425299048423767, -1.3972461223602295, -1.39680016040802, -2.2202253341674805, -2.2065181732177734, -2.232821464538574, -2.205142021179199, -2.204505205154419, -2.2043769359588623, -2.2267355918884277, -2.231588363647461, -2.219714403152466, -2.204963445663452, -2.221801996231079, -2.2052412033081055, -2.2066495418548584, -2.206444025039673, -2.2328732013702393, -2.2325353622436523, -2.21862530708313, -2.205150604248047, -2.2052083015441895, -2.204695701599121, -2.9948689937591553, -3.0206401348114014, -2.9946908950805664, -3.0223422050476074, -2.9949588775634766, -3.0213510990142822, -2.994607448577881, -3.018162727355957, -2.994258403778076, -3.0216245651245117, -2.9952263832092285, -3.0218236446380615, -2.9941697120666504, -2.9954752922058105, -3.0093390941619873, -3.009878158569336, -3.0230112075805664, -3.0215792655944824, -2.9933834075927734, -3.00815486907959]"
2,"[-1.4304312467575073, -1.4297024011611938, -1.4309331178665161, -1.4292042255401611, -1.422215223312378, -1.4091534614562988, -1.4151206016540527, -1.4125466346740723, -1.4136673212051392, -1.4285882711410522, -1.4176905155181885, -1.4123332500457764, -1.3929556608200073, -1.3926876783370972, -1.3927024602890015, -1.4295908212661743, -1.4296512603759766, -1.4298932552337646, -1.3928704261779785, -1.3922808170318604, -2.2200634479522705, -2.203587293624878, -2.2351913452148438, -2.20109224319458, -2.200065851211548, -2.19942045211792, -2.226461172103882, -2.235529661178589, -2.2231972217559814, -2.205392837524414, -2.223271131515503, -2.202195882797241, -2.203214645385742, -2.202998161315918, -2.237487316131592, -2.236447334289551, -2.2204039096832275, -2.2017879486083984, -2.201481819152832, -2.2005114555358887, -2.9918532371520996, -3.0250089168548584, -2.991532802581787, -3.024714946746826, -2.9908182621002197, -3.0248348712921143, -2.990490674972534, -3.015869617462158, -2.9929392337799072, -3.022780179977417, -2.992777109146118, -3.0242421627044678, -2.9911558628082275, -2.992072343826294, -3.0106098651885986, -3.0130274295806885, -3.027754783630371, -3.0225491523742676, -2.9887912273406982, -3.00815486907959]"
2,"[-1.4352086782455444, -1.4344658851623535, -1.4356870651245117, -1.4334650039672852, -1.4244340658187866, -1.4084811210632324, -1.4116034507751465, -1.408612847328186, -1.4101043939590454, -1.4329856634140015, -1.4219635725021362, -1.4159430265426636, -1.3884469270706177, -1.388146996498108, -1.3881727457046509, -1.4342237710952759, -1.4343181848526, -1.4345670938491821, -1.3883451223373413, -1.3875923156738281, -2.221243143081665, -2.201554775238037, -2.2377405166625977, -2.1968564987182617, -2.1954362392425537, -2.1945624351501465, -2.2243492603302, -2.237499713897705, -2.224971055984497, -2.2041006088256836, -2.224447727203369, -2.1997997760772705, -2.200462818145752, -2.199990749359131, -2.2403159141540527, -2.2394838333129883, -2.2224018573760986, -2.1992881298065186, -2.1980600357055664, -2.1962554454803467, -2.989396095275879, -3.0290367603302, -2.988882064819336, -3.0272128582000732, -2.9864354133605957, -3.027820348739624, -2.9874508380889893, -3.016935348510742, -2.992323637008667, -3.024367094039917, -2.993596315383911, -3.026834726333618, -2.98917818069458, -2.9884743690490723, -3.0123531818389893, -3.0162415504455566, -3.032080888748169, -3.022200345993042, -2.9847447872161865, -3.00815486907959]"
2,"[-1.4395517110824585, -1.4383717775344849, -1.4400488138198853, -1.4368643760681152, -1.4239381551742554, -1.4059743881225586, -1.4076778888702393, -1.4043437242507935, -1.4060920476913452, -1.4372332096099854, -1.4262635707855225, -1.4192672967910767, -1.3837933540344238, -1.3835029602050781, -1.3835378885269165, -1.4388939142227173, -1.4390206336975098, -1.439257025718689, -1.3836673498153687, -1.3828010559082031, -2.223426103591919, -2.199817419052124, -2.2397329807281494, -2.1925439834594727, -2.191065788269043, -2.1902101039886475, -2.22310471534729, -2.2393248081207275, -2.2263944149017334, -2.202728748321533, -2.224982500076294, -2.1975114345550537, -2.197937250137329, -2.1973536014556885, -2.2430827617645264, -2.2425785064697266, -2.224966287612915, -2.1973209381103516, -2.195019006729126, -2.192049980163574, -2.9872076511383057, -3.0307509899139404, -2.986659288406372, -3.028296947479248, -2.9841148853302, -3.0300633907318115, -2.985886812210083, -3.018129348754883, -2.99127197265625, -3.0258936882019043, -2.9949331283569336, -3.028761386871338, -2.9875741004943848, -2.9858858585357666, -3.0144782066345215, -3.0192651748657227, -3.035334825515747, -3.02069091796875, -2.981016159057617, -3.00815486907959]"
3,"[-1.4432623386383057, -1.441666603088379, -1.4438419342041016, -1.4401463270187378, -1.4244699478149414, -1.4049872159957886, -1.4035753011703491, -1.3999277353286743, -1.401983380317688, -1.4417043924331665, -1.4305806159973145, -1.4228111505508423, -1.379027009010315, -1.378792405128479, -1.3789559602737427, -1.4436899423599243, -1.4437003135681152, -1.4437153339385986, -1.3788906335830688, -1.3780475854873657, -2.226215124130249, -2.1988439559936523, -2.2418267726898193, -2.1884584426879883, -2.1867945194244385, -2.185960054397583, -2.222280740737915, -2.2412235736846924, -2.2278342247009277, -2.201181173324585, -2.225090742111206, -2.1951801776885986, -2.1956276893615723, -2.1950061321258545, -2.2461493015289307, -2.245535373687744, -2.2274794578552246, -2.1954941749572754, -2.1921825408935547, -2.1881415843963623, -2.985346794128418, -3.0323798656463623, -2.984736204147339, -3.029353141784668, -2.982053518295288, -3.0320305824279785, -2.9844062328338623, -3.0191638469696045, -2.990241050720215, -3.027313232421875, -2.995835065841675, -3.03061580657959, -2.986241102218628, -2.9826860427856445, -3.016805648803711, -3.0216689109802246, -3.0375750064849854, -3.0184173583984375, -2.9779410362243652, -3.00815486907959]"
3,"[-1.4469072818756104, -1.445259690284729, -1.4478232860565186, -1.4428974390029907, -1.4238064289093018, -1.402851939201355, -1.3991916179656982, -1.395540475845337, -1.3980388641357422, -1.4463169574737549, -1.4349911212921143, -1.4261926412582397, -1.3741563558578491, -1.3739591836929321, -1.3742167949676514, -1.448492169380188, -1.4484869241714478, -1.4483342170715332, -1.3740050792694092, -1.373194694519043, -2.229562997817993, -2.19820237159729, -2.243267059326172, -2.1840929985046387, -2.1822898387908936, -2.18155837059021, -2.220601797103882, -2.2433688640594482, -2.2296299934387207, -2.199434518814087, -2.2253332138061523, -2.1934988498687744, -2.1939663887023926, -2.193286657333374, -2.2482481002807617, -2.247326135635376, -2.2285244464874268, -2.1937007904052734, -2.1895644664764404, -2.1849703788757324, -2.9842042922973633, -3.0352113246917725, -2.9830923080444336, -3.031858205795288, -2.9794137477874756, -3.034266233444214, -2.982015609741211, -3.017815589904785, -2.9903507232666016, -3.0284345149993896, -2.996581554412842, -3.032416582107544, -2.984983444213867, -2.9807379245758057, -3.0193800926208496, -3.0236878395080566, -3.0400338172912598, -3.015399694442749, -2.9746763706207275, -3.00815486907959]"
3,"[-1.4503344297409058, -1.448604702949524, -1.4511992931365967, -1.4452593326568604, -1.4236645698547363, -1.4011579751968384, -1.3948264122009277, -1.3910311460494995, -1.3938847780227661, -1.451061725616455, -1.4395768642425537, -1.4299466609954834, -1.3692299127578735, -1.3690742254257202, -1.369390845298767, -1.45330011844635, -1.4533419609069824, -1.4530866146087646, -1.3690769672393799, -1.3682773113250732, -2.2326231002807617, -2.197282075881958, -2.2429840564727783, -2.179517984390259, -2.177607536315918, -2.176950693130493, -2.2208592891693115, -2.2464118003845215, -2.2324461936950684, -2.2006232738494873, -2.2256920337677, -2.194173574447632, -2.193013906478882, -2.1925363540649414, -2.2467424869537354, -2.24714732170105, -2.227379560470581, -2.1918718814849854, -2.1874947547912598, -2.1837666034698486, -2.9844002723693848, -3.0384223461151123, -2.981703042984009, -3.035066843032837, -2.9762253761291504, -3.0368199348449707, -2.978806257247925, -3.018299102783203, -2.990865468978882, -3.0289688110351562, -2.9966888427734375, -3.0338289737701416, -2.983886241912842, -2.979649066925049, -3.0219764709472656, -3.0249123573303223, -3.0416219234466553, -3.011913299560547, -2.9717965126037598, -3.00815486907959]"
4,"[-1.453419804573059, -1.451608657836914, -1.4542440176010132, -1.4475144147872925, -1.4238075017929077, -1.3999011516571045, -1.3907188177108765, -1.386605143547058, -1.3897252082824707, -1.4555869102478027, -1.4440420866012573, -1.4336706399917603, -1.3644895553588867, -1.3643956184387207, -1.3647593259811401, -1.4578754901885986, -1.4580024480819702, -1.4576760530471802, -1.3643367290496826, -1.363517165184021, -2.235581636428833, -2.1969070434570312, -2.2431585788726807, -2.175291061401367, -2.173346757888794, -2.172753095626831, -2.220702648162842, -2.2484145164489746, -2.234443426132202, -2.2013912200927734, -2.2254326343536377, -2.194483518600464, -2.1921846866607666, -2.1920933723449707, -2.2455947399139404, -2.247134208679199, -2.2262954711914062, -2.1901721954345703, -2.1854350566864014, -2.1824233531951904, -2.984475612640381, -3.0412797927856445, -2.9803707599639893, -3.037827491760254, -2.973630666732788, -3.038867712020874, -2.9764089584350586, -3.0175604820251465, -2.9913907051086426, -3.0292563438415527, -2.9974913597106934, -3.0351381301879883, -2.9829459190368652, -2.9789931774139404, -3.024449110031128, -3.025920867919922, -3.0421078205108643, -3.008260488510132, -2.9691550731658936, -3.00815486907959]"
