1,"[-1.4209754467010498, -1.4009873867034912, -1.4209859371185303, -1.420986294746399, -1.420986294746399, -1.400989055633545, -1.40099036693573, -1.4209858179092407, -1.420985221862793, -1.4209860563278198, -1.4209866523742676, -1.4209866523742676, -1.4009883403778076, -1.400987148284912, -1.400987148284912, -1.4009894132614136, -1.4209868907928467, -1.4209868907928467, -1.400987148284912, -1.4009870290756226, -2.2292027473449707, -2.2092034816741943, -2.229203224182129, -2.2092037200927734, -2.2092037200927734, -2.2092044353485107, -2.2292020320892334, -2.2092039585113525, -2.2092037200927734, -2.2092039585113525, -2.22920298576355, -2.2092039585113525, -2.2092175483703613, -2.2092037200927734, -2.2092742919921875, -2.229203462600708, -2.229203462600708, -2.2092037200927734, -2.2092034816741943, -2.2092034816741943, -2.998154878616333, -2.998154878616333, -2.998154878616333, -3.0181546211242676, -3.0181543827056885, -3.0181548595428467, -2.998154878616333, -3.0181517601013184, -3.01814603805542, -2.998155117034912, -3.0181543827056885, -3.0181546211242676, -2.998154878616333, -2.998155355453491, -3.0181500911712646, -3.0181541442871094, -3.0181546211242676, -3.0181546211242676, -2.998154878616333, -3.00815486907959]"
1,"[-1.4285105466842651, -1.4039424657821655, -1.4294055700302124, -1.4307818412780762, -1.4243425130844116, -1.3924617767333984, -1.3932050466537476, -1.4142433404922485, -1.4144481420516968, -1.4292489290237427, -1.429473638534546, -1.4307773113250732, -1.393281102180481, -1.3924616575241089, -1.3916600942611694, -1.4082913398742676, -1.4296035766601562, -1.429617166519165, -1.3916112184524536, -1.3917372226715088, -2.2386975288391113, -2.202328681945801, -2.2338297367095947, -2.2009997367858887, -2.2002975940704346, -2.1993112564086914, -2.238365411758423, -2.2026708126068115, -2.2024221420288086, -2.204235076904297, -2.2378904819488525, -2.203399896621704, -2.201416492462158, -2.199740409851074, -2.201775074005127, -2.2374651432037354, -2.2387850284576416, -2.2043075561523438, -2.201047658920288, -2.2004106044769287, -2.9914021492004395, -2.9917643070220947, -2.9911446571350098, -3.0269501209259033, -3.0273094177246094, -3.0252902507781982, -2.989210605621338, -3.012025833129883, -3.0257949829101562, -2.9885025024414062, -3.0215556621551514, -3.0232715606689453, -2.990786075592041, -2.9908204078674316, -3.026278257369995, -3.028139114379883, -3.027398109436035, -3.0242960453033447, -2.9890425205230713, -3.00815486907959]"
1,"[-1.4353907108306885, -1.406226634979248, -1.4365867376327515, -1.4406869411468506, -1.4311487674713135, -1.3943232297897339, -1.3844349384307861, -1.4060640335083008, -1.4065189361572266, -1.438187599182129, -1.4383107423782349, -1.4394962787628174, -1.3845547437667847, -1.3832876682281494, -1.3820385932922363, -1.4154223203659058, -1.4385000467300415, -1.4384469985961914, -1.3819825649261475, -1.3823215961456299, -2.2473690509796143, -2.1992995738983154, -2.2383594512939453, -2.193148136138916, -2.1920061111450195, -2.1895337104797363, -2.2409846782684326, -2.195051908493042, -2.1955275535583496, -2.1992669105529785, -2.247082233428955, -2.1967060565948486, -2.192680835723877, -2.191178321838379, -2.2004146575927734, -2.2450380325317383, -2.2475411891937256, -2.200331926345825, -2.193875789642334, -2.192533016204834, -2.985537528991699, -2.986569404602051, -2.9851760864257812, -3.023003101348877, -3.0368430614471436, -3.028790235519409, -2.9884982109069824, -3.004075765609741, -3.0271313190460205, -2.980440855026245, -3.0171215534210205, -3.024317502975464, -2.9846351146698, -2.9847586154937744, -3.034691333770752, -3.0331003665924072, -3.0349576473236084, -3.0242908000946045, -2.981386661529541, -3.00815486907959]"
2,"[-1.4434852600097656, -1.4118802547454834, -1.4448552131652832, -1.4499367475509644, -1.4392019510269165, -1.3995009660720825, -1.3769994974136353, -1.3994146585464478, -1.4004207849502563, -1.4474791288375854, -1.4475858211517334, -1.4487028121948242, -1.3757798671722412, -1.3738865852355957, -1.3722970485687256, -1.423643708229065, -1.4478132724761963, -1.44772469997406, -1.3724336624145508, -1.3726718425750732, -2.2561514377593994, -2.1964595317840576, -2.2429916858673096, -2.1852920055389404, -2.1832783222198486, -2.1797192096710205, -2.245150089263916, -2.1868398189544678, -2.1877858638763428, -2.1944456100463867, -2.2565929889678955, -2.1904473304748535, -2.1839303970336914, -2.1821787357330322, -2.200793981552124, -2.2525572776794434, -2.255850315093994, -2.1961607933044434, -2.1865017414093018, -2.184845447540283, -2.9803552627563477, -2.9821228981018066, -2.980219841003418, -3.022531747817993, -3.045609951019287, -3.0304033756256104, -2.9912853240966797, -2.9989466667175293, -3.0307507514953613, -2.9719510078430176, -3.0102932453155518, -3.024336338043213, -2.978412628173828, -2.9806652069091797, -3.0436322689056396, -3.0393447875976562, -3.040078639984131, -3.021008253097534, -2.974378824234009, -3.00815486907959]"
2,"[-1.451188564300537, -1.4168270826339722, -1.4520694017410278, -1.4581443071365356, -1.4459291696548462, -1.403638243675232, -1.3704060316085815, -1.3936189413070679, -1.3951811790466309, -1.4555070400238037, -1.4555844068527222, -1.456576943397522, -1.3681946992874146, -1.365810751914978, -1.3639780282974243, -1.4308143854141235, -1.4558199644088745, -1.455645203590393, -1.3641384840011597, -1.3643584251403809, -2.2638449668884277, -2.1953039169311523, -2.2473058700561523, -2.178150177001953, -2.175827980041504, -2.171844005584717, -2.2453157901763916, -2.1793344020843506, -2.181335210800171, -2.1903398036956787, -2.2655131816864014, -2.183835506439209, -2.175175428390503, -2.1741485595703125, -2.2027764320373535, -2.2594311237335205, -2.2633464336395264, -2.191699981689453, -2.1797025203704834, -2.1777279376983643, -2.9756839275360107, -2.977386474609375, -2.976255416870117, -3.017855405807495, -3.0546927452087402, -3.028801202774048, -2.996605634689331, -2.992034435272217, -3.0344927310943604, -2.9650349617004395, -3.0038063526153564, -3.0234014987945557, -2.972998857498169, -2.9778213500976562, -3.051224708557129, -3.0454962253570557, -3.0437936782836914, -3.016248941421509, -2.968553066253662, -3.00815486907959]"
2,"[-1.4587620496749878, -1.4215729236602783, -1.4587249755859375, -1.46568763256073, -1.4526419639587402, -1.408029317855835, -1.363370656967163, -1.387247085571289, -1.389326810836792, -1.4635988473892212, -1.463719367980957, -1.4645386934280396, -1.360378623008728, -1.3577605485916138, -1.3558576107025146, -1.4381365776062012, -1.4636635780334473, -1.463383436203003, -1.3557839393615723, -1.3560630083084106, -2.269782781600952, -2.1945056915283203, -2.2501797676086426, -2.17048978805542, -2.1679131984710693, -2.16335391998291, -2.2487149238586426, -2.1729369163513184, -2.175382137298584, -2.1869213581085205, -2.269320011138916, -2.184229612350464, -2.1715152263641357, -2.1669957637786865, -2.1987035274505615, -2.266892194747925, -2.271625518798828, -2.1917386054992676, -2.173495054244995, -2.170809030532837, -2.9729721546173096, -2.9757299423217773, -2.972695827484131, -3.0204474925994873, -3.051299571990967, -3.028594970703125, -2.9984753131866455, -2.9884331226348877, -3.03367280960083, -2.9574906826019287, -3.0028305053710938, -3.0201244354248047, -2.968440294265747, -2.980959415435791, -3.0580646991729736, -3.0518367290496826, -3.043142318725586, -3.0099053382873535, -2.9638326168060303, -3.00815486907959]"
3,"[-1.4645051956176758, -1.424306035041809, -1.4644534587860107, -1.4732153415679932, -1.4593772888183594, -1.41200852394104, -1.3568798303604126, -1.3814797401428223, -1.3842254877090454, -1.4712797403335571, -1.4712036848068237, -1.4717057943344116, -1.3529757261276245, -1.3503293991088867, -1.348576307296753, -1.4450411796569824, -1.4707986116409302, -1.4702589511871338, -1.3480303287506104, -1.34855318069458, -2.2718069553375244, -2.193805694580078, -2.25161075592041, -2.1623523235321045, -2.159759044647217, -2.1543772220611572, -2.2545535564422607, -2.1662914752960205, -2.1704909801483154, -2.187001943588257, -2.2681615352630615, -2.188272714614868, -2.1725921630859375, -2.1637377738952637, -2.194127321243286, -2.2747433185577393, -2.2801074981689453, -2.191411018371582, -2.167651414871216, -2.1645429134368896, -2.974522352218628, -2.978466033935547, -2.9713258743286133, -3.0259785652160645, -3.045954704284668, -3.0322179794311523, -2.9957916736602783, -2.9873008728027344, -3.0382776260375977, -2.9496898651123047, -3.000861406326294, -3.0145103931427, -2.9667112827301025, -2.9780895709991455, -3.0657873153686523, -3.0545382499694824, -3.0419960021972656, -3.0026345252990723, -2.959165334701538, -3.00815486907959]"
3,"[-1.4711164236068726, -1.4278255701065063, -1.470441222190857, -1.4812848567962646, -1.4670155048370361, -1.4180338382720947, -1.35287344455719, -1.3753106594085693, -1.3782377243041992, -1.4787769317626953, -1.4789355993270874, -1.4793283939361572, -1.3452504873275757, -1.3426858186721802, -1.3415061235427856, -1.4521650075912476, -1.4778146743774414, -1.4769264459609985, -1.3400932550430298, -1.3409926891326904, -2.2748308181762695, -2.1933631896972656, -2.252523422241211, -2.1540942192077637, -2.151923179626465, -2.145725965499878, -2.2605693340301514, -2.1598072052001953, -2.1657676696777344, -2.1869750022888184, -2.2684223651885986, -2.1919469833374023, -2.1725263595581055, -2.1598212718963623, -2.189926862716675, -2.2821524143218994, -2.287867784500122, -2.1899564266204834, -2.161761999130249, -2.158304452896118, -2.9754087924957275, -2.9807310104370117, -2.9695894718170166, -3.0305747985839844, -3.0414798259735107, -3.0345265865325928, -2.994774103164673, -2.984862804412842, -3.0422909259796143, -2.9432809352874756, -3.0000975131988525, -3.0093846321105957, -2.9654979705810547, -2.9756863117218018, -3.0729639530181885, -3.056792736053467, -3.040166139602661, -2.9949774742126465, -2.955408811569214, -3.00815486907959]"
3,"[-1.4764618873596191, -1.4301047325134277, -1.4756194353103638, -1.4885820150375366, -1.4741202592849731, -1.4237171411514282, -1.3488374948501587, -1.369167685508728, -1.3722478151321411, -1.485723614692688, -1.4862403869628906, -1.486507534980774, -1.3378782272338867, -1.3354867696762085, -1.3348110914230347, -1.4592244625091553, -1.4845693111419678, -1.483267068862915, -1.3321154117584229, -1.3334747552871704, -2.276566505432129, -2.193387508392334, -2.252056121826172, -2.1455795764923096, -2.1437439918518066, -2.1366968154907227, -2.267655372619629, -2.153883218765259, -2.1629106998443604, -2.188688278198242, -2.2647101879119873, -2.1956872940063477, -2.174344062805176, -2.158315658569336, -2.1865506172180176, -2.288562536239624, -2.2944107055664062, -2.1882998943328857, -2.1566689014434814, -2.153562307357788, -2.9779069423675537, -2.9849929809570312, -2.968019962310791, -3.0367138385772705, -3.037088394165039, -3.0391223430633545, -2.990859031677246, -2.986543893814087, -3.042203187942505, -2.9397478103637695, -3.00007700920105, -3.00370192527771, -2.9640724658966064, -2.974179267883301, -3.0793285369873047, -3.0561351776123047, -3.03729510307312, -2.987170934677124, -2.952747344970703, -3.00815486907959]"
4,"[-1.4828827381134033, -1.4324535131454468, -1.4811937808990479, -1.4960622787475586, -1.4810580015182495, -1.4293166399002075, -1.345199704170227, -1.3633203506469727, -1.366575002670288, -1.4920169115066528, -1.4929428100585938, -1.4929732084274292, -1.330998420715332, -1.3289315700531006, -1.3286634683609009, -1.4657918214797974, -1.4906654357910156, -1.4886689186096191, -1.3245255947113037, -1.3264939785003662, -2.2800235748291016, -2.193970203399658, -2.2519233226776123, -2.137521982192993, -2.136200428009033, -2.1283648014068604, -2.2723891735076904, -2.146993637084961, -2.1584672927856445, -2.1876306533813477, -2.2618136405944824, -2.1993353366851807, -2.175257444381714, -2.156481981277466, -2.184727668762207, -2.2945611476898193, -2.3002443313598633, -2.187358856201172, -2.1510705947875977, -2.1481077671051025, -2.978283166885376, -2.9869627952575684, -2.965510606765747, -3.0399980545043945, -3.0336060523986816, -3.0397579669952393, -2.992745876312256, -2.991133451461792, -3.0428531169891357, -2.937692403793335, -2.9966230392456055, -2.9977540969848633, -2.9614696502685547, -2.974522113800049, -3.0854685306549072, -3.0531280040740967, -3.034273624420166, -2.9791510105133057, -2.9509763717651367, -3.00815486907959]"
