1,"[-1.4009872674942017, -1.4009870290756226, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4009872674942017, -1.4009872674942017, -1.4209868907928467, -1.4209868907928467, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4009870290756226, -1.400987148284912, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4009870290756226, -1.4009870290756226, -2.229203224182129, -2.22920298576355, -2.2292027473449707, -2.2092037200927734, -2.2092037200927734, -2.2092041969299316, -2.2092089653015137, -2.2288401126861572, -2.2292022705078125, -2.22920298576355, -2.20920467376709, -2.2092037200927734, -2.2092037200927734, -2.209205150604248, -2.22920298576355, -2.229203224182129, -2.2292025089263916, -2.20920467376709, -2.2092037200927734, -2.2092037200927734, -2.9981558322906494, -2.998155117034912, -2.998155355453491, -2.9981560707092285, -3.018134355545044, -2.998156785964966, -2.998157024383545, -3.018153190612793, -3.0181543827056885, -3.0181546211242676, -3.0181546211242676, -3.0181543827056885, -2.998155355453491, -2.998155117034912, -2.998155117034912, -3.0181546211242676, -3.0181548595428467, -3.0181548595428467, -3.0181527137756348, -2.998154878616333]"
1,"[-1.4009872674942017, -1.4009870290756226, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4009872674942017, -1.4009872674942017, -1.4209868907928467, -1.4209868907928467, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4009870290756226, -1.400987148284912, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4009870290756226, -1.4009870290756226, -2.229203224182129, -2.22920298576355, -2.2292027473449707, -2.2092037200927734, -2.2092037200927734, -2.2092041969299316, -2.2092089653015137, -2.2288458347320557, -2.2292022705078125, -2.22920298576355, -2.20920467376709, -2.2092037200927734, -2.2092037200927734, -2.209205150604248, -2.22920298576355, -2.229203224182129, -2.2292025089263916, -2.20920467376709, -2.2092037200927734, -2.2092037200927734, -2.9981558322906494, -2.998155117034912, -2.998155355453491, -2.9981560707092285, -3.018134355545044, -2.998156785964966, -2.998157024383545, -3.018153190612793, -3.0181543827056885, -3.0181546211242676, -3.0181546211242676, -3.0181543827056885, -2.998155355453491, -2.998155117034912, -2.998155117034912, -3.0181546211242676, -3.0181548595428467, -3.0181548595428467, -3.0181527137756348, -2.998154878616333]"
2,"[-1.4002057313919067, -1.3926007747650146, -1.4250696897506714, -1.42380952835083, -1.4266877174377441, -1.393117904663086, -1.402073860168457, -1.426285982131958, -1.4189140796661377, -1.427656888961792, -1.4292197227478027, -1.4302246570587158, -1.4296941757202148, -1.392410159111023, -1.3928683996200562, -1.4301613569259644, -1.429463505744934, -1.429162859916687, -1.3923624753952026, -1.392403244972229, -2.237689733505249, -2.237114429473877, -2.2298192977905273, -2.200345754623413, -2.2002193927764893, -2.2007830142974854, -2.201535224914551, -2.2214181423187256, -2.2388343811035156, -2.2362358570098877, -2.200608491897583, -2.199191093444824, -2.1998610496520996, -2.2013649940490723, -2.226534605026245, -2.2387890815734863, -2.2370049953460693, -2.216094493865967, -2.2001044750213623, -2.2006382942199707, -2.9883742332458496, -2.988182544708252, -2.988142728805542, -2.988508939743042, -3.0253663063049316, -2.999799966812134, -2.9967029094696045, -3.0193393230438232, -3.0243144035339355, -3.0273635387420654, -3.0280821323394775, -3.028132200241089, -2.9896063804626465, -2.988348960876465, -2.98818039894104, -3.027778387069702, -3.0280163288116455, -3.0275490283966064, -3.0110676288604736, -2.9882113933563232]"
2,"[-1.400215983390808, -1.3926033973693848, -1.425068974494934, -1.4238113164901733, -1.426689624786377, -1.3931430578231812, -1.402082920074463, -1.4263523817062378, -1.418915867805481, -1.427660346031189, -1.4292219877243042, -1.430221438407898, -1.4296822547912598, -1.3924094438552856, -1.3928683996200562, -1.4301589727401733, -1.4294620752334595, -1.429161787033081, -1.3923633098602295, -1.392404556274414, -2.237692356109619, -2.237116813659668, -2.229858875274658, -2.200338363647461, -2.2002086639404297, -2.2007718086242676, -2.201533555984497, -2.221423625946045, -2.2388410568237305, -2.236227035522461, -2.2006044387817383, -2.1991918087005615, -2.1998555660247803, -2.201366424560547, -2.226404905319214, -2.2387948036193848, -2.237004280090332, -2.2161014080047607, -2.2000973224639893, -2.2006397247314453, -2.9883763790130615, -2.988182544708252, -2.988142728805542, -2.98850679397583, -3.0250751972198486, -2.9997482299804688, -2.9966962337493896, -3.0194547176361084, -3.024339437484741, -3.0273730754852295, -3.0280816555023193, -3.028132200241089, -2.9896063804626465, -2.988349676132202, -2.988179922103882, -3.0277791023254395, -3.028017044067383, -3.027547836303711, -3.0110673904418945, -2.9882116317749023]"
3,"[-1.4013971090316772, -1.386098861694336, -1.4276326894760132, -1.424183964729309, -1.4302022457122803, -1.3844937086105347, -1.4007593393325806, -1.4275668859481812, -1.4158272743225098, -1.432823657989502, -1.4357060194015503, -1.437845230102539, -1.4374033212661743, -1.3848307132720947, -1.3852933645248413, -1.4371800422668457, -1.4369853734970093, -1.436773657798767, -1.3849350214004517, -1.3847390413284302, -2.244823455810547, -2.243913412094116, -2.2261369228363037, -2.192753791809082, -2.1926510334014893, -2.193044662475586, -2.193547010421753, -2.2145938873291016, -2.2473111152648926, -2.244575023651123, -2.191645622253418, -2.189707040786743, -2.1904423236846924, -2.198956251144409, -2.2284486293792725, -2.246358871459961, -2.2444005012512207, -2.2203164100646973, -2.190624713897705, -2.1938297748565674, -2.978940725326538, -2.978986978530884, -2.9783029556274414, -2.9821360111236572, -3.0318546295166016, -3.0063109397888184, -3.0025672912597656, -3.0181102752685547, -3.0312066078186035, -3.0369279384613037, -3.0380666255950928, -3.038146734237671, -2.980628728866577, -2.978583574295044, -2.9783244132995605, -3.0375781059265137, -3.037952184677124, -3.037104606628418, -3.00277042388916, -2.978360652923584]"
3,"[-1.4014309644699097, -1.3860962390899658, -1.427626132965088, -1.4241676330566406, -1.4301985502243042, -1.3845082521438599, -1.4007043838500977, -1.4276057481765747, -1.4157963991165161, -1.4328163862228394, -1.4357150793075562, -1.4378420114517212, -1.437386393547058, -1.3848220109939575, -1.385276198387146, -1.4371429681777954, -1.436984896659851, -1.4367824792861938, -1.384940266609192, -1.3847377300262451, -2.2448480129241943, -2.2439374923706055, -2.226170778274536, -2.192737102508545, -2.1925926208496094, -2.1930058002471924, -2.1935341358184814, -2.214726686477661, -2.247316837310791, -2.2445011138916016, -2.1916260719299316, -2.1897380352020264, -2.190368413925171, -2.198869228363037, -2.2283647060394287, -2.246480703353882, -2.2443673610687256, -2.2202606201171875, -2.1906189918518066, -2.1938650608062744, -2.978928804397583, -2.9789743423461914, -2.978304147720337, -2.982121706008911, -3.0315608978271484, -3.0062501430511475, -3.002556562423706, -3.0184006690979004, -3.0312342643737793, -3.036942958831787, -3.0380659103393555, -3.03814697265625, -2.980628252029419, -2.9785842895507812, -2.978322982788086, -3.037578821182251, -3.0379533767700195, -3.0371034145355225, -3.002770185470581, -2.978361129760742]"
4,"[-1.4059548377990723, -1.3805842399597168, -1.428743600845337, -1.4228265285491943, -1.4326162338256836, -1.3753496408462524, -1.3956904411315918, -1.4270392656326294, -1.410078763961792, -1.4364341497421265, -1.4419848918914795, -1.445581316947937, -1.4428062438964844, -1.3763427734375, -1.3768001794815063, -1.4429174661636353, -1.4450128078460693, -1.4451277256011963, -1.377606987953186, -1.3767262697219849, -2.252129077911377, -2.250272750854492, -2.2196578979492188, -2.184812307357788, -2.1850602626800537, -2.184720993041992, -2.18496036529541, -2.2067484855651855, -2.2555651664733887, -2.253171682357788, -2.186335325241089, -2.1804728507995605, -2.180809259414673, -2.194640636444092, -2.2323403358459473, -2.2547523975372314, -2.2527198791503906, -2.226022720336914, -2.1810989379882812, -2.186063051223755, -2.9702744483947754, -2.9695653915405273, -2.9684479236602783, -2.975759744644165, -3.038442850112915, -3.01320743560791, -3.0098767280578613, -3.019995927810669, -3.0381102561950684, -3.046612501144409, -3.0480470657348633, -3.048185110092163, -2.972308874130249, -2.9692013263702393, -2.968663454055786, -3.047464609146118, -3.047866106033325, -3.046395778656006, -2.993828773498535, -2.9686803817749023]"
4,"[-1.4059970378875732, -1.3805735111236572, -1.4287344217300415, -1.4228137731552124, -1.432604193687439, -1.3753588199615479, -1.3956233263015747, -1.4271507263183594, -1.4100515842437744, -1.436432123184204, -1.441990613937378, -1.4455679655075073, -1.4428074359893799, -1.3763269186019897, -1.3767732381820679, -1.442817211151123, -1.4450054168701172, -1.445138931274414, -1.3776215314865112, -1.3767303228378296, -2.252164363861084, -2.2503039836883545, -2.2196896076202393, -2.18479061126709, -2.1849660873413086, -2.1846325397491455, -2.1849403381347656, -2.20701265335083, -2.255568742752075, -2.2529869079589844, -2.1862316131591797, -2.180316209793091, -2.180718421936035, -2.194749116897583, -2.232785940170288, -2.2549450397491455, -2.2526307106018066, -2.2257702350616455, -2.181077480316162, -2.1861672401428223, -2.9700982570648193, -2.969569206237793, -2.968499183654785, -2.975647449493408, -3.0381510257720947, -3.0129942893981934, -3.0096778869628906, -3.020598888397217, -3.0385804176330566, -3.0466160774230957, -3.048034191131592, -3.048184633255005, -2.972351551055908, -2.969207525253296, -2.9686474800109863, -3.047461986541748, -3.047865390777588, -3.046395778656006, -2.993828535079956, -2.9686813354492188]"
5,"[-1.409667730331421, -1.3759082555770874, -1.4294480085372925, -1.4212020635604858, -1.434451937675476, -1.3689625263214111, -1.3926606178283691, -1.4282912015914917, -1.4059128761291504, -1.4397122859954834, -1.44760262966156, -1.4525052309036255, -1.4475531578063965, -1.3686145544052124, -1.369113564491272, -1.448115587234497, -1.4521520137786865, -1.4526013135910034, -1.3708345890045166, -1.3693842887878418, -2.257899045944214, -2.2567176818847656, -2.218038320541382, -2.177457094192505, -2.1773998737335205, -2.176084518432617, -2.1762266159057617, -2.198687791824341, -2.2605113983154297, -2.2571158409118652, -2.180406332015991, -2.172748327255249, -2.172893762588501, -2.190556526184082, -2.2383289337158203, -2.2636523246765137, -2.2605602741241455, -2.228700876235962, -2.171579360961914, -2.179473638534546, -2.9619126319885254, -2.9627227783203125, -2.959995746612549, -2.968094825744629, -3.041581392288208, -3.017869710922241, -3.013193368911743, -3.017294406890869, -3.045285940170288, -3.0563998222351074, -3.0580341815948486, -3.05816388130188, -2.963629961013794, -2.9600353240966797, -2.9595553874969482, -3.0574045181274414, -3.0575408935546875, -3.054973840713501, -2.9845569133758545, -2.95953106880188]"
5,"[-1.4098081588745117, -1.3758870363235474, -1.4294475317001343, -1.4212076663970947, -1.4344394207000732, -1.3688914775848389, -1.3925585746765137, -1.4284250736236572, -1.4058793783187866, -1.4397133588790894, -1.4476057291030884, -1.4524915218353271, -1.4475938081741333, -1.3685742616653442, -1.3690444231033325, -1.447953701019287, -1.4521794319152832, -1.4526495933532715, -1.3708524703979492, -1.3693897724151611, -2.258218288421631, -2.256455659866333, -2.21665096282959, -2.177582263946533, -2.177583932876587, -2.176330327987671, -2.176448106765747, -2.198700428009033, -2.261800765991211, -2.2591605186462402, -2.1805334091186523, -2.172105073928833, -2.17215633392334, -2.19046950340271, -2.2385406494140625, -2.263793468475342, -2.260478973388672, -2.2290642261505127, -2.171651601791382, -2.1793365478515625, -2.961956024169922, -2.9626660346984863, -2.9598641395568848, -2.967928647994995, -3.041404962539673, -3.017460346221924, -3.0127573013305664, -3.018120288848877, -3.045952320098877, -3.0563793182373047, -3.0580062866210938, -3.0581552982330322, -2.9637367725372314, -2.9600610733032227, -2.959533214569092, -3.0573983192443848, -3.05753755569458, -3.0549733638763428, -2.984557628631592, -2.9595324993133545]"
