1,"[-1.4010006189346313, -1.4010013341903687, -1.4010003805160522, -1.4010037183761597, -1.401007890701294, -1.4010162353515625, -1.401035189628601, -1.4010618925094604, -1.401055097579956, -1.4010554552078247, -1.4201911687850952, -1.420946717262268, -1.4209694862365723, -1.4209785461425781, -1.4209818840026855, -1.4209834337234497, -1.4209843873977661, -1.4209851026535034, -1.4209856986999512, -1.4209860563278198, -2.2292025089263916, -2.229196548461914, -2.2292022705078125, -2.2292025089263916, -2.2292020320892334, -2.2092044353485107, -2.229203462600708, -2.2092034816741943, -2.229203462600708, -2.2092034816741943, -2.229203462600708, -2.2092039585113525, -2.2092037200927734, -2.229203462600708, -2.2092034816741943, -2.229203462600708, -2.2092034816741943, -2.229203462600708, -2.2092034816741943, -2.229203462600708, -2.998154878616333, -3.0181548595428467, -2.998155117034912, -3.0181546211242676, -2.998154878616333, -3.0181548595428467, -2.998154878616333, -3.0181548595428467, -2.998154878616333, -2.998154878616333, -2.998154878616333, -3.0181546211242676, -2.9981558322906494, -2.998154878616333, -3.0181541442871094, -2.998154878616333, -2.998155355453491, -2.998154878616333, -3.0181546211242676, -2.998154878616333]"
2,"[-1.3926293849945068, -1.3926362991333008, -1.3925745487213135, -1.3927958011627197, -1.3929039239883423, -1.3930805921554565, -1.3932294845581055, -1.3932216167449951, -1.391992449760437, -1.4078035354614258, -1.4276496171951294, -1.4286668300628662, -1.4288088083267212, -1.428970217704773, -1.4291146993637085, -1.429197907447815, -1.4292351007461548, -1.4292784929275513, -1.4293084144592285, -1.4292937517166138, -2.2225277423858643, -2.222144603729248, -2.2256922721862793, -2.226505756378174, -2.2388486862182617, -2.1993818283081055, -2.2366483211517334, -2.2024781703948975, -2.2366626262664795, -2.2035083770751953, -2.237269401550293, -2.208284378051758, -2.207568407058716, -2.2372169494628906, -2.2035086154937744, -2.2369983196258545, -2.2034218311309814, -2.237842321395874, -2.2044386863708496, -2.2386083602905273, -2.9912562370300293, -3.021878480911255, -2.989600896835327, -3.023822784423828, -2.9913265705108643, -3.0247058868408203, -2.991255521774292, -3.0240657329559326, -2.9894309043884277, -2.99102783203125, -2.990424633026123, -3.021540403366089, -2.989229917526245, -2.989551067352295, -3.013026237487793, -2.9889636039733887, -2.9887752532958984, -2.9890213012695312, -3.0155296325683594, -2.989802122116089]"
3,"[-1.3859765529632568, -1.3859832286834717, -1.3857747316360474, -1.3862396478652954, -1.3864976167678833, -1.3868937492370605, -1.387311339378357, -1.387829065322876, -1.3899606466293335, -1.4150525331497192, -1.434545636177063, -1.435381293296814, -1.435673713684082, -1.4357261657714844, -1.4361668825149536, -1.4365365505218506, -1.4367729425430298, -1.4370543956756592, -1.4373242855072021, -1.4374874830245972, -2.2169675827026367, -2.2165188789367676, -2.2234861850738525, -2.225787878036499, -2.2477786540985107, -2.1923141479492188, -2.242743492126465, -2.197540283203125, -2.242899179458618, -2.1997251510620117, -2.244378089904785, -2.2098681926727295, -2.208097457885742, -2.2440762519836426, -2.1993801593780518, -2.242976427078247, -2.1989104747772217, -2.244384765625, -2.200291395187378, -2.247972249984741, -2.9859635829925537, -3.0245344638824463, -2.985150098800659, -3.0314011573791504, -2.985703945159912, -3.0297632217407227, -2.985342264175415, -3.0273942947387695, -2.982074022293091, -2.9845871925354004, -2.9839980602264404, -3.019571304321289, -2.9799063205718994, -2.981260299682617, -3.0056397914886475, -2.980023145675659, -2.979247570037842, -2.980531692504883, -3.008939504623413, -2.9815099239349365]"
4,"[-1.3794043064117432, -1.3796029090881348, -1.3790580034255981, -1.379767894744873, -1.380540132522583, -1.3819752931594849, -1.3843317031860352, -1.3876503705978394, -1.3946114778518677, -1.4231362342834473, -1.4415347576141357, -1.4421043395996094, -1.4421274662017822, -1.4418158531188965, -1.4422838687896729, -1.442733645439148, -1.4430415630340576, -1.4433770179748535, -1.443493127822876, -1.4428282976150513, -2.2141969203948975, -2.2122745513916016, -2.2189414501190186, -2.2216780185699463, -2.246980905532837, -2.184325695037842, -2.2470803260803223, -2.1928327083587646, -2.248167037963867, -2.1954522132873535, -2.2506515979766846, -2.2086830139160156, -2.206310272216797, -2.2497711181640625, -2.1944711208343506, -2.2479259967803955, -2.193998098373413, -2.2490880489349365, -2.1962249279022217, -2.2572269439697266, -2.9903783798217773, -3.0194740295410156, -2.990450620651245, -3.0261762142181396, -2.984776020050049, -3.0307819843292236, -2.983337640762329, -3.024340867996216, -2.9794137477874756, -2.9767587184906006, -2.976325035095215, -3.013615846633911, -2.9751944541931152, -2.9742000102996826, -3.0001301765441895, -2.9730260372161865, -2.9797229766845703, -2.9720284938812256, -3.0127298831939697, -2.9733335971832275]"
5,"[-1.3716429471969604, -1.3720028400421143, -1.3713014125823975, -1.3724321126937866, -1.3740960359573364, -1.3774229288101196, -1.38265061378479, -1.390345573425293, -1.4012690782546997, -1.4308383464813232, -1.4494024515151978, -1.4499592781066895, -1.4497443437576294, -1.4489675760269165, -1.4493434429168701, -1.4496824741363525, -1.4498646259307861, -1.4500759840011597, -1.449941635131836, -1.4485838413238525, -2.2101664543151855, -2.2074201107025146, -2.21803879737854, -2.22021484375, -2.244629383087158, -2.178950309753418, -2.2503395080566406, -2.1889610290527344, -2.252089500427246, -2.191620111465454, -2.2553696632385254, -2.2067151069641113, -2.2030105590820312, -2.254230499267578, -2.1899232864379883, -2.251647472381592, -2.1893696784973145, -2.254359722137451, -2.1923274993896484, -2.2642645835876465, -2.992298126220703, -3.016244411468506, -2.9963977336883545, -3.020648717880249, -2.984471559524536, -3.0319700241088867, -2.9819681644439697, -3.0197505950927734, -2.978978395462036, -2.9698052406311035, -2.968862771987915, -3.0087623596191406, -2.9691267013549805, -2.967904806137085, -2.994530439376831, -2.9669394493103027, -2.9787650108337402, -2.9649479389190674, -3.0163419246673584, -2.96518874168396]"
6,"[-1.3643709421157837, -1.3648369312286377, -1.3640110492706299, -1.3655669689178467, -1.368174433708191, -1.3733394145965576, -1.381286382675171, -1.3930002450942993, -1.4077743291854858, -1.438349962234497, -1.4570027589797974, -1.4575649499893188, -1.4570719003677368, -1.4558298587799072, -1.4561152458190918, -1.4563729763031006, -1.4564521312713623, -1.4565509557724, -1.4561684131622314, -1.4541573524475098, -2.206681966781616, -2.20342755317688, -2.2179923057556152, -2.220188617706299, -2.2452547550201416, -2.1779067516326904, -2.2539267539978027, -2.186654806137085, -2.2561330795288086, -2.1899611949920654, -2.2606496810913086, -2.2088184356689453, -2.203932285308838, -2.259645700454712, -2.187257766723633, -2.25581955909729, -2.1861183643341064, -2.260038375854492, -2.1893396377563477, -2.271416425704956, -2.991572856903076, -3.0137343406677246, -3.0020735263824463, -3.016031503677368, -2.983511209487915, -3.0332140922546387, -2.980396270751953, -3.0154199600219727, -2.9766042232513428, -2.963386297225952, -2.961355447769165, -3.0039570331573486, -2.9620521068573, -2.9622838497161865, -2.9874584674835205, -2.9614224433898926, -2.97536039352417, -2.958221673965454, -3.0162160396575928, -2.9570460319519043]"
7,"[-1.3580182790756226, -1.3585630655288696, -1.3576246500015259, -1.3595669269561768, -1.3630073070526123, -1.369796872138977, -1.3801785707473755, -1.3954766988754272, -1.4136172533035278, -1.4450334310531616, -1.463832974433899, -1.4644267559051514, -1.4637161493301392, -1.4620333909988403, -1.4622451066970825, -1.4624252319335938, -1.4623973369598389, -1.4623914957046509, -1.4617915153503418, -1.4592386484146118, -2.2037224769592285, -2.2007229328155518, -2.218968391418457, -2.2209343910217285, -2.2466700077056885, -2.1781983375549316, -2.2573182582855225, -2.1848480701446533, -2.25976300239563, -2.1887364387512207, -2.2653849124908447, -2.211265802383423, -2.205475330352783, -2.2644786834716797, -2.185336112976074, -2.2595794200897217, -2.1836297512054443, -2.265415668487549, -2.1870625019073486, -2.2756588459014893, -2.9892771244049072, -3.011272430419922, -3.0090763568878174, -3.0114684104919434, -2.983125686645508, -3.0345189571380615, -2.978985071182251, -3.01094651222229, -2.9735560417175293, -2.957188606262207, -2.95479154586792, -2.9992148876190186, -2.9560859203338623, -2.9570322036743164, -2.9796578884124756, -2.9564857482910156, -2.970564126968384, -2.9515416622161865, -3.015294313430786, -2.9489729404449463]"
8,"[-1.3509093523025513, -1.3514175415039062, -1.3504705429077148, -1.3529644012451172, -1.3575067520141602, -1.366513729095459, -1.3804426193237305, -1.4003140926361084, -1.4207648038864136, -1.4527047872543335, -1.4714303016662598, -1.4719181060791016, -1.4709620475769043, -1.4688124656677246, -1.4689083099365234, -1.4690039157867432, -1.4688496589660645, -1.468737244606018, -1.4679265022277832, -1.4648370742797852, -2.2004668712615967, -2.196251630783081, -2.2165424823760986, -2.221140146255493, -2.245879650115967, -2.1805837154388428, -2.2604053020477295, -2.1843197345733643, -2.263688564300537, -2.189540386199951, -2.2711434364318848, -2.216196298599243, -2.2095768451690674, -2.2703545093536377, -2.1850883960723877, -2.2640891075134277, -2.1824355125427246, -2.27133846282959, -2.1859724521636963, -2.279630422592163, -2.9872889518737793, -3.008798599243164, -3.015427350997925, -3.0067925453186035, -2.9825665950775146, -3.0356733798980713, -2.977458953857422, -3.006852865219116, -2.9696600437164307, -2.9512150287628174, -2.9485461711883545, -2.994732141494751, -2.9489266872406006, -2.9522199630737305, -2.971512794494629, -2.951793670654297, -2.965273380279541, -2.945035934448242, -3.013749122619629, -2.941481828689575]"
9,"[-1.3434319496154785, -1.3439282178878784, -1.343014121055603, -1.3458019495010376, -1.350751519203186, -1.3609669208526611, -1.378544569015503, -1.4033913612365723, -1.4273253679275513, -1.4576895236968994, -1.4765321016311646, -1.478599190711975, -1.4773430824279785, -1.4748623371124268, -1.4751065969467163, -1.475358009338379, -1.475257396697998, -1.4751756191253662, -1.4741448163986206, -1.4706577062606812, -2.1968588829040527, -2.1919054985046387, -2.2148091793060303, -2.222114324569702, -2.2468655109405518, -2.1844139099121094, -2.263864755630493, -2.1846179962158203, -2.2677528858184814, -2.19120192527771, -2.277066230773926, -2.221942901611328, -2.2146565914154053, -2.276259183883667, -2.1855781078338623, -2.2686588764190674, -2.181938409805298, -2.2763824462890625, -2.1857259273529053, -2.2847096920013428, -2.9854185581207275, -3.0071585178375244, -3.021145820617676, -3.0024285316467285, -2.982107162475586, -3.036970853805542, -2.976715564727783, -3.003145694732666, -2.96669340133667, -2.945744752883911, -2.9427847862243652, -2.9907782077789307, -2.9422495365142822, -2.94791841506958, -2.964425563812256, -2.947530746459961, -2.9601047039031982, -2.9390902519226074, -3.0126869678497314, -2.934317111968994]"
10,"[-1.335871696472168, -1.336393117904663, -1.335542917251587, -1.3386027812957764, -1.3438830375671387, -1.3556091785430908, -1.3777897357940674, -1.4079766273498535, -1.4348689317703247, -1.4640793800354004, -1.4828765392303467, -1.486148715019226, -1.4845930337905884, -1.4816865921020508, -1.4819291830062866, -1.4822331666946411, -1.4821828603744507, -1.4821081161499023, -1.4809033870697021, -1.4770764112472534, -2.1928982734680176, -2.1871705055236816, -2.2147886753082275, -2.226275682449341, -2.2514498233795166, -2.1903421878814697, -2.2682390213012695, -2.186225414276123, -2.2720346450805664, -2.1938140392303467, -2.2830405235290527, -2.228381633758545, -2.2203755378723145, -2.282174825668335, -2.1867096424102783, -2.2733092308044434, -2.1820878982543945, -2.2816238403320312, -2.185657262802124, -2.289109945297241, -2.983696222305298, -3.005521774291992, -3.025346040725708, -2.998643398284912, -2.981549024581909, -3.03861927986145, -2.9758570194244385, -2.9996135234832764, -2.9632673263549805, -2.9406380653381348, -2.9370572566986084, -2.987088441848755, -2.9357619285583496, -2.9438579082489014, -2.9574406147003174, -2.9436190128326416, -2.9550273418426514, -2.933767318725586, -3.0115091800689697, -2.927783250808716]"
