1,"[-1.4209866523742676, -1.4009875059127808, -1.400987148284912, -1.400987148284912, -1.400987148284912, -1.4009872674942017, -1.4009876251220703, -1.4009875059127808, -1.4209762811660767, -1.4209868907928467, -1.4209868907928467, -1.4209868907928467, -1.4209866523742676, -1.4209868907928467, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4009876251220703, -1.4009870290756226, -1.4009870290756226, -2.229203462600708, -2.229203224182129, -2.2092034816741943, -2.2092034816741943, -2.2092034816741943, -2.2092034816741943, -2.2092041969299316, -2.22920298576355, -2.229203224182129, -2.2092056274414062, -2.2092037200927734, -2.2092037200927734, -2.2092037200927734, -2.2092037200927734, -2.22920298576355, -2.229203224182129, -2.229203224182129, -2.229200839996338, -2.2092034816741943, -2.2092034816741943, -2.998154878616333, -2.998155117034912, -2.998154878616333, -2.998154878616333, -3.0181548595428467, -2.998154878616333, -3.0181546211242676, -2.998154878616333, -3.0181548595428467, -2.998154878616333, -2.998155355453491, -2.998155117034912, -2.9981558322906494, -2.9981613159179688, -2.998155117034912, -3.018148899078369, -3.0181541442871094, -3.018153667449951, -2.998155355453491, -2.998155117034912]"
1,"[-1.430383563041687, -1.3913241624832153, -1.3911619186401367, -1.39114248752594, -1.391728162765503, -1.395984172821045, -1.4057129621505737, -1.394188404083252, -1.4284861087799072, -1.4296693801879883, -1.4294215440750122, -1.4293687343597412, -1.4239294528961182, -1.4148753881454468, -1.4172065258026123, -1.4306079149246216, -1.4294302463531494, -1.4082354307174683, -1.3911492824554443, -1.3912477493286133, -2.2392139434814453, -2.2385833263397217, -2.199390172958374, -2.1992099285125732, -2.1992154121398926, -2.199221134185791, -2.2005245685577393, -2.2315125465393066, -2.234574317932129, -2.2011303901672363, -2.199575662612915, -2.199216604232788, -2.199221134185791, -2.1992082595825195, -2.237546920776367, -2.239193916320801, -2.2391302585601807, -2.226754903793335, -2.1994822025299072, -2.1994307041168213, -2.9925832748413086, -2.989514112472534, -2.9915108680725098, -2.9957244396209717, -3.023944616317749, -2.9923183917999268, -3.014134407043457, -2.99096941947937, -3.02384614944458, -2.9923505783081055, -2.994235038757324, -2.9882450103759766, -3.0009605884552, -2.99015212059021, -2.989100933074951, -3.0261733531951904, -3.026381015777588, -3.018467903137207, -2.9888858795166016, -2.9883434772491455]"
1,"[-1.4400101900100708, -1.3827729225158691, -1.3813579082489014, -1.3817098140716553, -1.3843944072723389, -1.3976271152496338, -1.4122569561004639, -1.3868485689163208, -1.4341912269592285, -1.4389342069625854, -1.4385441541671753, -1.438461184501648, -1.4176881313323975, -1.4069827795028687, -1.4105747938156128, -1.4398176670074463, -1.4384233951568604, -1.4165228605270386, -1.3812180757522583, -1.3813769817352295, -2.249218702316284, -2.248220920562744, -2.1900126934051514, -2.189303398132324, -2.189272403717041, -2.1893489360809326, -2.1912975311279297, -2.2318646907806396, -2.239332675933838, -2.192331314086914, -2.189913749694824, -2.189452886581421, -2.189446449279785, -2.1894445419311523, -2.2462551593780518, -2.2486038208007812, -2.2482802867889404, -2.220093250274658, -2.1897642612457275, -2.189805269241333, -2.988095283508301, -2.9815568923950195, -2.9861109256744385, -2.9935147762298584, -3.0281636714935303, -2.9874532222747803, -3.0109846591949463, -2.983729362487793, -3.027980327606201, -2.987238883972168, -2.988698959350586, -2.9792890548706055, -2.999950885772705, -2.981372833251953, -2.980248212814331, -3.0319912433624268, -3.032714366912842, -3.013389825820923, -2.9792885780334473, -2.9785566329956055]"
2,"[-1.4493552446365356, -1.3741949796676636, -1.373673677444458, -1.373345136642456, -1.3786048889160156, -1.4024931192398071, -1.4201629161834717, -1.382211685180664, -1.4414777755737305, -1.4482276439666748, -1.4476747512817383, -1.447493553161621, -1.4101132154464722, -1.3984798192977905, -1.403615117073059, -1.449320673942566, -1.447756052017212, -1.425321102142334, -1.3712527751922607, -1.371543526649475, -2.259016275405884, -2.256730556488037, -2.181511640548706, -2.17989444732666, -2.1795899868011475, -2.1796422004699707, -2.1819303035736084, -2.229203939437866, -2.2427523136138916, -2.183344602584839, -2.1803057193756104, -2.17980694770813, -2.1796743869781494, -2.1795833110809326, -2.253995656967163, -2.2582173347473145, -2.2577574253082275, -2.213118076324463, -2.1800358295440674, -2.1801841259002686, -2.985124349594116, -2.9740288257598877, -2.982372522354126, -2.990708351135254, -3.0312654972076416, -2.9833414554595947, -3.0104172229766846, -2.9761312007904053, -3.03094482421875, -2.980849504470825, -2.992525100708008, -2.9701085090637207, -3.0025665760040283, -2.9733831882476807, -2.9715442657470703, -3.035367727279663, -3.040494441986084, -3.0062448978424072, -2.9695420265197754, -2.9686577320098877]"
2,"[-1.4540865421295166, -1.3661946058273315, -1.3655235767364502, -1.3670761585235596, -1.3744755983352661, -1.4076831340789795, -1.4277894496917725, -1.3754950761795044, -1.4490437507629395, -1.457359790802002, -1.4564396142959595, -1.4564626216888428, -1.4053412675857544, -1.3911573886871338, -1.3972610235214233, -1.4575406312942505, -1.4558351039886475, -1.4328924417495728, -1.362619161605835, -1.3630585670471191, -2.265239715576172, -2.259657144546509, -2.175598621368408, -2.171971321105957, -2.1699440479278564, -2.169919013977051, -2.1723990440368652, -2.2331008911132812, -2.248675584793091, -2.174067974090576, -2.1710216999053955, -2.172062873840332, -2.1709511280059814, -2.1706526279449463, -2.259326696395874, -2.2662670612335205, -2.2608306407928467, -2.213836669921875, -2.170921802520752, -2.1720454692840576, -2.981100559234619, -2.9783895015716553, -2.976112127304077, -2.9957730770111084, -3.0341291427612305, -2.987576961517334, -3.0049707889556885, -2.9800729751586914, -3.0284197330474854, -2.9854750633239746, -2.987149715423584, -2.974193572998047, -2.99721622467041, -2.978520393371582, -2.976079225540161, -3.03014874458313, -3.0482120513916016, -2.9995319843292236, -2.9678547382354736, -2.9600589275360107]"
2,"[-1.460065484046936, -1.3584117889404297, -1.3583862781524658, -1.3606420755386353, -1.369014859199524, -1.4091335535049438, -1.4309539794921875, -1.3679909706115723, -1.45243239402771, -1.4660618305206299, -1.4652019739151, -1.4654585123062134, -1.3992493152618408, -1.3831429481506348, -1.389839768409729, -1.465883493423462, -1.4643532037734985, -1.4412270784378052, -1.3537298440933228, -1.35428786277771, -2.2726027965545654, -2.265251874923706, -2.168989419937134, -2.1636316776275635, -2.160288095474243, -2.160268783569336, -2.1629409790039062, -2.2359325885772705, -2.253974437713623, -2.1647789478302, -2.161738395690918, -2.16401743888855, -2.162013053894043, -2.1615028381347656, -2.266211986541748, -2.274785041809082, -2.264873743057251, -2.2113113403320312, -2.161644697189331, -2.1636781692504883, -2.977459669113159, -2.982156276702881, -2.9706802368164062, -3.0000216960906982, -3.0370900630950928, -2.991199493408203, -3.000196695327759, -2.9834227561950684, -3.026169776916504, -2.9894258975982666, -2.982499837875366, -2.97741436958313, -2.9925336837768555, -2.982917070388794, -2.979944944381714, -3.025756597518921, -3.054908037185669, -2.992978572845459, -2.9648618698120117, -2.952136993408203]"
3,"[-1.4657399654388428, -1.3510111570358276, -1.3526062965393066, -1.355099081993103, -1.3649179935455322, -1.4111089706420898, -1.434492588043213, -1.3616055250167847, -1.455855131149292, -1.474318265914917, -1.4736297130584717, -1.4738744497299194, -1.3927606344223022, -1.3754321336746216, -1.3831062316894531, -1.4740732908248901, -1.4725072383880615, -1.4490472078323364, -1.3450959920883179, -1.34590482711792, -2.280107021331787, -2.2716104984283447, -2.162804365158081, -2.1555261611938477, -2.1512033939361572, -2.151106834411621, -2.1539344787597656, -2.2390353679656982, -2.259176015853882, -2.156001567840576, -2.1526730060577393, -2.15594744682312, -2.153071165084839, -2.1524057388305664, -2.2738912105560303, -2.283547878265381, -2.2695319652557373, -2.2072818279266357, -2.152571201324463, -2.1554765701293945, -2.9729490280151367, -2.984811305999756, -2.9658608436584473, -3.002941608428955, -3.039736747741699, -2.994157552719116, -2.9967005252838135, -2.985895872116089, -3.024540901184082, -2.992534637451172, -2.978487730026245, -2.9802091121673584, -2.9884772300720215, -2.9867184162139893, -2.983325958251953, -3.0219552516937256, -3.061352491378784, -2.9867429733276367, -2.9616105556488037, -2.9450197219848633]"
3,"[-1.4705442190170288, -1.3442193269729614, -1.3457107543945312, -1.3490194082260132, -1.3615602254867554, -1.4121170043945312, -1.4374232292175293, -1.3548556566238403, -1.459714651107788, -1.4818644523620605, -1.4812713861465454, -1.481551170349121, -1.387015461921692, -1.3684499263763428, -1.376929521560669, -1.481528639793396, -1.479957938194275, -1.4560836553573608, -1.3372222185134888, -1.338273048400879, -2.2870748043060303, -2.2773890495300293, -2.1580045223236084, -2.1480958461761475, -2.14300537109375, -2.1423850059509277, -2.1449663639068604, -2.244204521179199, -2.264505624771118, -2.1507151126861572, -2.1456398963928223, -2.1504290103912354, -2.1471638679504395, -2.1446735858917236, -2.280005693435669, -2.291552782058716, -2.273648500442505, -2.201202154159546, -2.1439132690429688, -2.146826982498169, -2.9672491550445557, -2.9818062782287598, -2.9610726833343506, -3.000117540359497, -3.0422980785369873, -2.9937379360198975, -3.000054359436035, -2.9837958812713623, -3.026052713394165, -2.991237163543701, -2.975515842437744, -2.98193621635437, -2.985257387161255, -2.9896740913391113, -2.9864585399627686, -3.0183727741241455, -3.068406105041504, -2.9806904792785645, -2.9582579135894775, -2.938361644744873]"
3,"[-1.4750100374221802, -1.337672472000122, -1.3391530513763428, -1.3432247638702393, -1.3582172393798828, -1.4128639698028564, -1.439609169960022, -1.3480502367019653, -1.4641144275665283, -1.4890259504318237, -1.488503098487854, -1.4887847900390625, -1.381154179573059, -1.3617075681686401, -1.3709533214569092, -1.4887771606445312, -1.487195372581482, -1.4631013870239258, -1.3294810056686401, -1.330824851989746, -2.293799638748169, -2.283231496810913, -2.153048276901245, -2.1406750679016113, -2.134936809539795, -2.1338539123535156, -2.136204957962036, -2.2493741512298584, -2.2697665691375732, -2.145195484161377, -2.1383488178253174, -2.1444485187530518, -2.140770673751831, -2.136601209640503, -2.2869200706481934, -2.299837350845337, -2.2781081199645996, -2.1946792602539062, -2.135136842727661, -2.1382224559783936, -2.9621689319610596, -2.9791462421417236, -2.9567933082580566, -2.9975826740264893, -3.0446784496307373, -2.9933464527130127, -3.003016710281372, -2.9819095134735107, -3.0273659229278564, -2.9900753498077393, -2.972867965698242, -2.983306884765625, -2.9823358058929443, -2.9922752380371094, -2.989147901535034, -3.015138626098633, -3.0744693279266357, -2.9745378494262695, -2.954148054122925, -2.9321508407592773]"
4,"[-1.4793040752410889, -1.3310723304748535, -1.3327840566635132, -1.3374816179275513, -1.3541450500488281, -1.4123157262802124, -1.4407073259353638, -1.3416186571121216, -1.4678455591201782, -1.495647668838501, -1.4951955080032349, -1.4954503774642944, -1.3755054473876953, -1.3553965091705322, -1.3653937578201294, -1.4956508874893188, -1.4939881563186646, -1.4697376489639282, -1.322170376777649, -1.3238086700439453, -2.2997121810913086, -2.287658214569092, -2.147775411605835, -2.1337087154388428, -2.127397060394287, -2.1258716583251953, -2.128009557723999, -2.254340410232544, -2.274122476577759, -2.139716386795044, -2.131390333175659, -2.138622999191284, -2.1344332695007324, -2.128782272338867, -2.294753074645996, -2.3078930377960205, -2.282588481903076, -2.1879196166992188, -2.1266472339630127, -2.1299514770507812, -2.957195997238159, -2.976635456085205, -2.9521851539611816, -2.994898796081543, -3.0473177433013916, -2.992631435394287, -3.006126642227173, -2.979790449142456, -3.0288894176483154, -2.988563060760498, -2.970893383026123, -2.984046459197998, -2.98030161857605, -2.9942269325256348, -2.991635322570801, -3.0117225646972656, -3.0807409286499023, -2.9678053855895996, -2.9501960277557373, -2.925746202468872]"
