1,"[-1.4209868907928467, -1.4009873867034912, -1.400987148284912, -1.400987148284912, -1.400987148284912, -1.4009876251220703, -1.420986533164978, -1.4009873867034912, -1.4209867715835571, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4209867715835571, -1.4009870290756226, -1.4009870290756226, -1.4209870100021362, -1.4209870100021362, -1.4209870100021362, -1.4009870290756226, -1.4009870290756226, -2.229203462600708, -2.2092034816741943, -2.2092034816741943, -2.2092034816741943, -2.2092034816741943, -2.2092034816741943, -2.2092037200927734, -2.229203224182129, -2.22920298576355, -2.2092039585113525, -2.2092037200927734, -2.2092037200927734, -2.2092037200927734, -2.2092037200927734, -2.2092044353485107, -2.229203462600708, -2.229203462600708, -2.229203224182129, -2.2092034816741943, -2.2092034816741943, -2.998156785964966, -2.998155117034912, -2.998155117034912, -2.998155355453491, -2.9981558322906494, -2.9981558322906494, -2.998157024383545, -2.9981558322906494, -2.998156785964966, -2.9981558322906494, -2.9981560707092285, -2.9981558322906494, -2.9981565475463867, -2.9981560707092285, -3.018148899078369, -3.018153429031372, -3.0181541442871094, -2.998164653778076, -2.998155117034912, -2.998154878616333]"
1,"[-1.4280664920806885, -1.3951811790466309, -1.3911991119384766, -1.3924974203109741, -1.393690586090088, -1.3909986019134521, -1.424793004989624, -1.3935984373092651, -1.4278370141983032, -1.4277198314666748, -1.4278522729873657, -1.4277739524841309, -1.4267600774765015, -1.3941322565078735, -1.3942846059799194, -1.4283663034439087, -1.4278804063796997, -1.4277982711791992, -1.3940308094024658, -1.3940434455871582, -2.2367515563964844, -2.202667474746704, -2.2022664546966553, -2.2017223834991455, -2.2025041580200195, -2.2025513648986816, -2.2022087574005127, -2.2295868396759033, -2.2332372665405273, -2.199256181716919, -2.2000186443328857, -2.201876401901245, -2.2021567821502686, -2.2019450664520264, -2.199460506439209, -2.2351975440979004, -2.2354938983917236, -2.2383809089660645, -2.203082323074341, -2.2027554512023926, -2.9902734756469727, -2.989039659500122, -2.9900963306427, -2.9905765056610107, -3.0044455528259277, -2.9905242919921875, -3.005509614944458, -2.989699125289917, -3.0051865577697754, -2.9889256954193115, -2.9887101650238037, -3.0029044151306152, -2.988900661468506, -2.9881510734558105, -3.014164924621582, -3.0274722576141357, -3.028127431869507, -3.0050156116485596, -2.990107536315918, -2.9894840717315674]"
1,"[-1.4363338947296143, -1.3874305486679077, -1.3818798065185547, -1.383620023727417, -1.3851929903030396, -1.3820897340774536, -1.4231464862823486, -1.3853611946105957, -1.4223926067352295, -1.4302678108215332, -1.4354995489120483, -1.4360276460647583, -1.4333852529525757, -1.3858522176742554, -1.3864854574203491, -1.4241783618927002, -1.4344375133514404, -1.43482506275177, -1.386396050453186, -1.3867179155349731, -2.2451090812683105, -2.202948808670044, -2.195859670639038, -2.194570779800415, -2.195612668991089, -2.1956262588500977, -2.1942105293273926, -2.227546453475952, -2.235119581222534, -2.189824342727661, -2.191303253173828, -2.195618152618408, -2.1963112354278564, -2.1952714920043945, -2.1908490657806396, -2.240234136581421, -2.241065502166748, -2.245776414871216, -2.1961071491241455, -2.196171760559082, -2.9912657737731934, -2.9873745441436768, -2.987858295440674, -2.988248825073242, -3.0123791694641113, -2.985214948654175, -3.0060527324676514, -2.9912548065185547, -3.0049498081207275, -2.993741512298584, -2.9818203449249268, -3.0098400115966797, -2.9800777435302734, -2.993088960647583, -3.019847869873047, -3.022148370742798, -3.038081169128418, -3.000523328781128, -2.985536575317383, -2.9805824756622314]"
2,"[-1.4441759586334229, -1.3796887397766113, -1.3733841180801392, -1.3745602369308472, -1.3762484788894653, -1.3727723360061646, -1.4174168109893799, -1.3765095472335815, -1.4158855676651, -1.4315861463546753, -1.4423044919967651, -1.4436628818511963, -1.4392597675323486, -1.3778144121170044, -1.379013180732727, -1.4204914569854736, -1.441377878189087, -1.4426865577697754, -1.3791708946228027, -1.3795088529586792, -2.253863573074341, -2.2055013179779053, -2.1899216175079346, -2.1875722408294678, -2.1888740062713623, -2.1889383792877197, -2.186041831970215, -2.223896026611328, -2.2358245849609375, -2.1804358959198, -2.1826813220977783, -2.1895172595977783, -2.1899213790893555, -2.1879565715789795, -2.182934522628784, -2.2468981742858887, -2.247910976409912, -2.254039764404297, -2.1890652179718018, -2.18947434425354, -2.994133949279785, -2.9871060848236084, -2.9899628162384033, -2.987431764602661, -3.0178372859954834, -2.9801700115203857, -3.0044851303100586, -2.9880728721618652, -3.0036325454711914, -2.9919698238372803, -2.9854307174682617, -3.0076239109039307, -2.984375476837158, -2.988131284713745, -3.023698091506958, -3.014883041381836, -3.046082019805908, -2.9938783645629883, -2.9821505546569824, -2.9712584018707275]"
2,"[-1.4508575201034546, -1.374325156211853, -1.3674424886703491, -1.3694849014282227, -1.3733553886413574, -1.373111367225647, -1.4208173751831055, -1.3748961687088013, -1.4127217531204224, -1.4348515272140503, -1.4493556022644043, -1.4510787725448608, -1.4435913562774658, -1.3694231510162354, -1.3719028234481812, -1.4193028211593628, -1.448835849761963, -1.450305461883545, -1.3713140487670898, -1.3721412420272827, -2.2630460262298584, -2.2105443477630615, -2.1846888065338135, -2.180110216140747, -2.1812844276428223, -2.1815576553344727, -2.1773297786712646, -2.2191567420959473, -2.2343015670776367, -2.1708452701568604, -2.173787832260132, -2.182767152786255, -2.183004140853882, -2.180136203765869, -2.174334764480591, -2.2536203861236572, -2.2550370693206787, -2.2623672485351562, -2.1817381381988525, -2.1826865673065186, -2.996833324432373, -2.9866726398468018, -2.9917287826538086, -2.9868905544281006, -3.0183892250061035, -2.9761905670166016, -3.0025153160095215, -2.986679792404175, -3.000547409057617, -2.9901251792907715, -2.98830246925354, -3.0055346488952637, -2.98775577545166, -2.9839189052581787, -3.0266737937927246, -3.0089025497436523, -3.0534400939941406, -2.98809814453125, -2.9779233932495117, -2.9626054763793945]"
2,"[-1.4568724632263184, -1.369805932044983, -1.3614994287490845, -1.364539384841919, -1.3705949783325195, -1.3731088638305664, -1.4236159324645996, -1.373205304145813, -1.4096704721450806, -1.4374690055847168, -1.455474853515625, -1.4576150178909302, -1.4474735260009766, -1.3619964122772217, -1.365601658821106, -1.418268084526062, -1.4555217027664185, -1.4572514295578003, -1.3643531799316406, -1.3655881881713867, -2.2715537548065186, -2.2155988216400146, -2.18023943901062, -2.1734423637390137, -2.17437481880188, -2.174722194671631, -2.1687631607055664, -2.2145776748657227, -2.232257127761841, -2.1637768745422363, -2.1674644947052, -2.1776700019836426, -2.176217555999756, -2.172147750854492, -2.165494203567505, -2.2606794834136963, -2.2627766132354736, -2.271233558654785, -2.1744606494903564, -2.175969362258911, -2.9968934059143066, -2.984018087387085, -2.992863893508911, -2.98516845703125, -3.016561269760132, -2.9741320610046387, -2.9991631507873535, -2.9855129718780518, -2.996508836746216, -2.9886252880096436, -2.9891231060028076, -3.0039994716644287, -2.990236282348633, -2.980811357498169, -3.032275915145874, -3.00174617767334, -3.0605952739715576, -2.982696771621704, -2.9728360176086426, -2.9538915157318115]"
3,"[-1.4622812271118164, -1.3652095794677734, -1.3560974597930908, -1.3595463037490845, -1.3675470352172852, -1.3725818395614624, -1.4257291555404663, -1.371189832687378, -1.406672716140747, -1.4396874904632568, -1.4611036777496338, -1.4636890888214111, -1.4509847164154053, -1.354928970336914, -1.359714150428772, -1.4175466299057007, -1.462012767791748, -1.4643046855926514, -1.3577860593795776, -1.3593120574951172, -2.2793385982513428, -2.220212936401367, -2.176239490509033, -2.1671698093414307, -2.1678414344787598, -2.1682369709014893, -2.160510778427124, -2.210662841796875, -2.230182647705078, -2.157076120376587, -2.1618289947509766, -2.172945022583008, -2.16949725151062, -2.1640877723693848, -2.156458616256714, -2.26812744140625, -2.270609140396118, -2.28001070022583, -2.166980028152466, -2.1691386699676514, -2.9963505268096924, -2.982886552810669, -2.9918017387390137, -2.9843616485595703, -3.0173346996307373, -2.9715023040771484, -2.9966018199920654, -2.983455181121826, -2.9926083087921143, -2.986482858657837, -2.9912009239196777, -3.001209259033203, -2.9934496879577637, -2.9769184589385986, -3.0363457202911377, -2.9964711666107178, -3.0674712657928467, -2.977029800415039, -2.9669349193573, -2.9454548358917236]"
3,"[-1.4682400226593018, -1.3607769012451172, -1.3495001792907715, -1.3532606363296509, -1.363219976425171, -1.3706163167953491, -1.4266009330749512, -1.3676964044570923, -1.4023903608322144, -1.4407904148101807, -1.4663106203079224, -1.4694716930389404, -1.4544132947921753, -1.3481429815292358, -1.3540122509002686, -1.4166910648345947, -1.4683265686035156, -1.47152578830719, -1.351438045501709, -1.3530884981155396, -2.2866134643554688, -2.225332021713257, -2.172759771347046, -2.1611316204071045, -2.1614248752593994, -2.162107467651367, -2.153028726577759, -2.2067337036132812, -2.232560634613037, -2.151062250137329, -2.156918525695801, -2.1685304641723633, -2.163412094116211, -2.1567676067352295, -2.147817850112915, -2.2751505374908447, -2.277730703353882, -2.2865524291992188, -2.1598615646362305, -2.1626875400543213, -2.992805004119873, -2.978890895843506, -2.9902853965759277, -2.9808852672576904, -3.0180776119232178, -2.970573902130127, -2.9913103580474854, -2.983621120452881, -2.9868619441986084, -2.985482692718506, -2.994211196899414, -2.9988975524902344, -2.9964609146118164, -2.9733786582946777, -3.0422897338867188, -2.9897642135620117, -3.074035406112671, -2.9714441299438477, -2.9599554538726807, -2.9373135566711426]"
3,"[-1.4743826389312744, -1.3563122749328613, -1.3429203033447266, -1.347348690032959, -1.359148383140564, -1.3687297105789185, -1.4270673990249634, -1.364109754562378, -1.3983430862426758, -1.442662239074707, -1.4719078540802002, -1.4753061532974243, -1.4567667245864868, -1.340681791305542, -1.3480563163757324, -1.417627215385437, -1.4754849672317505, -1.4795130491256714, -1.3443206548690796, -1.3462458848953247, -2.2947120666503906, -2.2312309741973877, -2.1688990592956543, -2.1545863151550293, -2.1544008255004883, -2.155390739440918, -2.1449954509735107, -2.2033181190490723, -2.235842704772949, -2.1443300247192383, -2.150981903076172, -2.163161516189575, -2.156597375869751, -2.148803472518921, -2.1388587951660156, -2.2823050022125244, -2.2850091457366943, -2.292539358139038, -2.15212345123291, -2.1557862758636475, -2.9899985790252686, -2.9755446910858154, -2.9894189834594727, -2.977968215942383, -3.019017457962036, -2.969613552093506, -2.986511468887329, -2.9854395389556885, -2.9813523292541504, -2.9856674671173096, -2.995414972305298, -2.997685194015503, -2.997981309890747, -2.9709084033966064, -3.0471580028533936, -2.9835598468780518, -3.07939076423645, -2.9649157524108887, -2.9520676136016846, -2.9293205738067627]"
4,"[-1.479587435722351, -1.3510093688964844, -1.3384732007980347, -1.341794729232788, -1.354910969734192, -1.366886854171753, -1.4271981716156006, -1.3604615926742554, -1.3946067094802856, -1.4444576501846313, -1.4771227836608887, -1.4807342290878296, -1.4588994979858398, -1.3336201906204224, -1.3424972295761108, -1.4189667701721191, -1.482405185699463, -1.487051010131836, -1.3374062776565552, -1.3397412300109863, -2.3019134998321533, -2.2368321418762207, -2.165132761001587, -2.148146629333496, -2.147447109222412, -2.1488635540008545, -2.136925458908081, -2.199195384979248, -2.236280679702759, -2.13720965385437, -2.144657850265503, -2.157160997390747, -2.1490373611450195, -2.140317678451538, -2.12959361076355, -2.2898857593536377, -2.291900157928467, -2.294811487197876, -2.1443707942962646, -2.1497292518615723, -2.991121530532837, -2.97757887840271, -2.9861555099487305, -2.979391574859619, -3.0157790184020996, -2.967499256134033, -2.9865546226501465, -2.9828500747680664, -2.9816625118255615, -2.982414484024048, -2.996833086013794, -2.9957995414733887, -2.999516248703003, -2.9680416584014893, -3.0493290424346924, -2.978193998336792, -3.08400297164917, -2.9585368633270264, -2.9440348148345947, -2.9216268062591553]"
