1,"[-1.4159865379333496, -1.4059882164001465, -1.40598726272583, -1.4059871435165405, -1.4059871435165405, -1.40598726272583, -1.4059875011444092, -1.4059873819351196, -1.4159867763519287, -1.4159870147705078, -1.4159870147705078, -1.4159868955612183, -1.4059871435165405, -1.4059871435165405, -1.4159868955612183, -1.4159870147705078, -1.4159870147705078, -1.4159868955612183, -1.405987024307251, -1.405987024307251, -2.22420334815979, -2.22420334815979, -2.22420334815979, -2.2142035961151123, -2.2142035961151123, -2.2142035961151123, -2.2142035961151123, -2.22420334815979, -2.22420334815979, -2.22420334815979, -2.2142035961151123, -2.2142035961151123, -2.2142035961151123, -2.2142035961151123, -2.22420334815979, -2.22420334815979, -2.22420334815979, -2.22420334815979, -2.2142035961151123, -2.2142035961151123, -3.0131547451019287, -3.0131547451019287, -3.0131547451019287, -3.003154993057251, -3.0131547451019287, -3.003154993057251, -3.013154983520508, -3.003154993057251, -3.0131547451019287, -3.003154993057251, -3.003154993057251, -3.0131547451019287, -3.003154993057251, -3.0131547451019287, -3.003154993057251, -3.0131547451019287, -3.0131547451019287, -3.0031559467315674, -3.0131542682647705, -3.003154993057251]"
1,"[-1.4201099872589111, -1.4010019302368164, -1.4022787809371948, -1.4031482934951782, -1.4052478075027466, -1.4074898958206177, -1.4069457054138184, -1.4019801616668701, -1.4207947254180908, -1.4204124212265015, -1.4203516244888306, -1.4201856851577759, -1.4020195007324219, -1.40212881565094, -1.4132988452911377, -1.4203020334243774, -1.420194149017334, -1.4199633598327637, -1.4013537168502808, -1.401360273361206, -2.229210138320923, -2.229067087173462, -2.222825288772583, -2.2091968059539795, -2.2092175483703613, -2.209198474884033, -2.209205389022827, -2.228883743286133, -2.2279303073883057, -2.225440502166748, -2.2092771530151367, -2.2091987133026123, -2.209433078765869, -2.2093029022216797, -2.228219509124756, -2.2290353775024414, -2.229168653488159, -2.227328062057495, -2.2093095779418945, -2.209197521209717, -3.01765513420105, -3.0178229808807373, -3.017986297607422, -3.0043745040893555, -3.016247034072876, -3.000474214553833, -3.0158495903015137, -2.999640464782715, -3.0160791873931885, -3.000147581100464, -3.0020365715026855, -3.01535964012146, -2.999725580215454, -3.016213893890381, -2.9993700981140137, -3.0166971683502197, -3.017119884490967, -2.9987568855285645, -3.0103919506073, -2.998265504837036]"
1,"[-1.4246163368225098, -1.3960824012756348, -1.3982555866241455, -1.401009202003479, -1.4058380126953125, -1.4102694988250732, -1.4071043729782104, -1.397531270980835, -1.4209480285644531, -1.4250800609588623, -1.4249967336654663, -1.4247369766235352, -1.3976006507873535, -1.397759199142456, -1.4094887971878052, -1.4249192476272583, -1.4247486591339111, -1.4243853092193604, -1.3965562582015991, -1.396566390991211, -2.2342255115509033, -2.2338240146636963, -2.2199158668518066, -2.204209089279175, -2.204249620437622, -2.2042360305786133, -2.2041938304901123, -2.232985496520996, -2.2314295768737793, -2.225172996520996, -2.2043354511260986, -2.204359292984009, -2.2048585414886475, -2.2046597003936768, -2.2319231033325195, -2.233429193496704, -2.233574390411377, -2.2279233932495117, -2.2043700218200684, -2.2042746543884277, -3.0223772525787354, -3.0226404666900635, -3.0213894844055176, -3.0069448947906494, -3.0184457302093506, -2.998853921890259, -3.0174691677093506, -2.996939182281494, -3.0179903507232666, -2.998087167739868, -3.0027565956115723, -3.015817165374756, -2.996922492980957, -3.0181288719177246, -2.9958488941192627, -3.0198426246643066, -3.0204970836639404, -2.994115114212036, -3.0067007541656494, -2.9935271739959717]"
2,"[-1.429203987121582, -1.3929848670959473, -1.393900752067566, -1.401642084121704, -1.4084503650665283, -1.412237286567688, -1.4042969942092896, -1.3928709030151367, -1.4238535165786743, -1.4296095371246338, -1.4294642210006714, -1.4289114475250244, -1.3933234214782715, -1.39323091506958, -1.4056438207626343, -1.4292677640914917, -1.4294724464416504, -1.428875207901001, -1.3916691541671753, -1.3916879892349243, -2.2391915321350098, -2.2386715412139893, -2.2168054580688477, -2.1992714405059814, -2.199300765991211, -2.1992928981781006, -2.199202537536621, -2.236459493637085, -2.2347090244293213, -2.2239692211151123, -2.1993722915649414, -2.19944429397583, -2.2001187801361084, -2.199920415878296, -2.2350916862487793, -2.2377805709838867, -2.238051652908325, -2.2282609939575195, -2.1993961334228516, -2.199310779571533, -3.025799036026001, -3.0262937545776367, -3.0238704681396484, -3.0089244842529297, -3.020172595977783, -2.9975030422210693, -3.0187880992889404, -2.9947197437286377, -3.01947283744812, -2.99637508392334, -3.0034382343292236, -3.016113519668579, -2.99446177482605, -3.0194919109344482, -2.992661237716675, -3.0227863788604736, -3.0237934589385986, -2.9900174140930176, -3.002631425857544, -2.988830327987671]"
2,"[-1.4336131811141968, -1.3902696371078491, -1.389533281326294, -1.4013174772262573, -1.4103660583496094, -1.4143604040145874, -1.4018293619155884, -1.3883150815963745, -1.4262577295303345, -1.4339040517807007, -1.4337128400802612, -1.4328640699386597, -1.3889797925949097, -1.3887919187545776, -1.4018975496292114, -1.4337122440338135, -1.4341630935668945, -1.4333404302597046, -1.386860728263855, -1.3869177103042603, -2.2440874576568604, -2.243417978286743, -2.214193344116211, -2.1946561336517334, -2.1946959495544434, -2.1947274208068848, -2.1943466663360596, -2.238804817199707, -2.2378594875335693, -2.222963809967041, -2.1947152614593506, -2.194889545440674, -2.1954994201660156, -2.195136308670044, -2.2380332946777344, -2.24192476272583, -2.2424299716949463, -2.2283518314361572, -2.1946189403533936, -2.194554090499878, -3.0279476642608643, -3.028712749481201, -3.0234673023223877, -3.010570764541626, -3.021456003189087, -2.996349334716797, -3.019869089126587, -2.992750406265259, -3.0205957889556885, -2.994831085205078, -3.0011653900146484, -3.0165631771087646, -2.9921815395355225, -3.0211100578308105, -2.9894838333129883, -3.0256452560424805, -3.027209520339966, -2.9859135150909424, -2.998680591583252, -2.984046459197998]"
2,"[-1.4381922483444214, -1.3874619007110596, -1.3854515552520752, -1.3988373279571533, -1.4087368249893188, -1.4133782386779785, -1.3984622955322266, -1.383847951889038, -1.4260355234146118, -1.4382771253585815, -1.4381945133209229, -1.4370718002319336, -1.3844399452209473, -1.3844736814498901, -1.3980668783187866, -1.4383339881896973, -1.4386690855026245, -1.437586784362793, -1.3822051286697388, -1.382315754890442, -2.2490463256835938, -2.248267889022827, -2.2150473594665527, -2.1903762817382812, -2.1900975704193115, -2.190213918685913, -2.1894989013671875, -2.2412867546081543, -2.2408058643341064, -2.222046375274658, -2.190091133117676, -2.19032883644104, -2.190825939178467, -2.1902570724487305, -2.240931987762451, -2.2462728023529053, -2.246999979019165, -2.2287914752960205, -2.1897988319396973, -2.1897377967834473, -3.0292842388153076, -3.0305676460266113, -3.022437334060669, -3.0119433403015137, -3.022420644760132, -2.9953694343566895, -3.0208375453948975, -2.9909555912017822, -3.0214712619781494, -2.9934935569763184, -2.998875856399536, -3.0168190002441406, -2.990065813064575, -3.022223472595215, -2.9865500926971436, -3.028639316558838, -3.0306949615478516, -2.981812000274658, -2.9944775104522705, -2.979285717010498]"
3,"[-1.442850947380066, -1.3846406936645508, -1.382069706916809, -1.3955923318862915, -1.4065790176391602, -1.412896752357483, -1.3973405361175537, -1.3796995878219604, -1.4258328676223755, -1.442613124847412, -1.4426566362380981, -1.4413257837295532, -1.3797392845153809, -1.380039095878601, -1.3940794467926025, -1.443050503730774, -1.4433094263076782, -1.4420440196990967, -1.3774640560150146, -1.377629280090332, -2.2540488243103027, -2.253201961517334, -2.216780185699463, -2.1860766410827637, -2.185431957244873, -2.1855669021606445, -2.184619903564453, -2.2432775497436523, -2.241413116455078, -2.220414161682129, -2.1853554248809814, -2.1856472492218018, -2.186051607131958, -2.1853208541870117, -2.2436752319335938, -2.250662088394165, -2.251704216003418, -2.228083848953247, -2.1848957538604736, -2.1848299503326416, -3.029846668243408, -3.0318105220794678, -3.0207042694091797, -3.0143630504608154, -3.02288818359375, -2.995628595352173, -3.020595073699951, -2.9900710582733154, -3.021512746810913, -2.9934237003326416, -2.9975082874298096, -3.016695976257324, -2.9878413677215576, -3.023254156112671, -2.983776092529297, -3.0301473140716553, -3.033827781677246, -2.9778716564178467, -2.9902091026306152, -2.974428653717041]"
3,"[-1.4473896026611328, -1.3819302320480347, -1.37868332862854, -1.392159342765808, -1.4039764404296875, -1.4117283821105957, -1.3960305452346802, -1.3756418228149414, -1.4249931573867798, -1.4466209411621094, -1.4469412565231323, -1.445446252822876, -1.3752408027648926, -1.3757859468460083, -1.3902233839035034, -1.4475346803665161, -1.4477465152740479, -1.4463307857513428, -1.37290358543396, -1.3731366395950317, -2.2588884830474854, -2.25803804397583, -2.2179434299468994, -2.1817128658294678, -2.1809253692626953, -2.1810431480407715, -2.1799635887145996, -2.243757724761963, -2.24100923538208, -2.2181942462921143, -2.180628776550293, -2.180898904800415, -2.181169033050537, -2.1803128719329834, -2.24687123298645, -2.2552216053009033, -2.2564949989318848, -2.227503538131714, -2.179964542388916, -2.1799449920654297, -3.031822443008423, -3.033417224884033, -3.0224616527557373, -3.0162153244018555, -3.0231876373291016, -2.9958443641662598, -3.0204222202301025, -2.989257335662842, -3.021578550338745, -2.993359088897705, -2.996150016784668, -3.0160107612609863, -2.985760450363159, -3.0240886211395264, -2.9811503887176514, -3.03200364112854, -3.0369763374328613, -2.973616123199463, -2.985797166824341, -2.969627857208252]"
3,"[-1.4484010934829712, -1.3785063028335571, -1.3753937482833862, -1.3885904550552368, -1.4006308317184448, -1.4100022315979004, -1.393570899963379, -1.372097373008728, -1.422790765762329, -1.4509358406066895, -1.4514621496200562, -1.4498008489608765, -1.371008038520813, -1.371302843093872, -1.386026382446289, -1.4521600008010864, -1.452376365661621, -1.4508529901504517, -1.3681963682174683, -1.3684786558151245, -2.2638161182403564, -2.2629709243774414, -2.218197822570801, -2.177173614501953, -2.176318407058716, -2.1764440536499023, -2.175171375274658, -2.24462628364563, -2.241206169128418, -2.216320753097534, -2.175813913345337, -2.1760358810424805, -2.176208257675171, -2.1752514839172363, -2.2504079341888428, -2.259948492050171, -2.2613980770111084, -2.227062940597534, -2.1749579906463623, -2.1749837398529053, -3.0336413383483887, -3.035198926925659, -3.0246262550354004, -3.018057107925415, -3.023400068283081, -2.996098041534424, -3.0201869010925293, -2.988619565963745, -3.0217134952545166, -2.99294114112854, -2.995391607284546, -3.0138332843780518, -2.9853386878967285, -3.0237691402435303, -2.9810640811920166, -3.0322437286376953, -3.0399534702301025, -2.9691176414489746, -2.9811933040618896, -2.964792013168335]"
4,"[-1.4495110511779785, -1.375324010848999, -1.3721879720687866, -1.3850674629211426, -1.3973028659820557, -1.4077965021133423, -1.3910475969314575, -1.3688499927520752, -1.420669674873352, -1.454958200454712, -1.4556870460510254, -1.4538335800170898, -1.3668150901794434, -1.3670930862426758, -1.3821314573287964, -1.4565856456756592, -1.456748604774475, -1.4551022052764893, -1.3637332916259766, -1.3640923500061035, -2.2685940265655518, -2.267832040786743, -2.217973232269287, -2.1727824211120605, -2.1719186305999756, -2.172020435333252, -2.170527219772339, -2.2454209327697754, -2.2415215969085693, -2.2143378257751465, -2.171057939529419, -2.171276092529297, -2.1713919639587402, -2.1703643798828125, -2.253861904144287, -2.2644875049591064, -2.266049861907959, -2.2259719371795654, -2.1701018810272217, -2.170243501663208, -3.0351505279541016, -3.0367307662963867, -3.026512861251831, -3.0197558403015137, -3.023543357849121, -2.9962832927703857, -3.019989490509033, -2.987900495529175, -3.021878242492676, -2.992535352706909, -2.994645357131958, -3.0117108821868896, -2.9848272800445557, -3.0232982635498047, -2.9806604385375977, -3.032519578933716, -3.042813777923584, -2.9644358158111572, -2.976623296737671, -2.9601032733917236]"
