1,"[-1.4209866523742676, -1.400989055633545, -1.4209868907928467, -1.4209867715835571, -1.4209868907928467, -1.4209868907928467, -1.4209868907928467, -1.4209868907928467, -1.4209868907928467, -1.4209868907928467, -1.4209868907928467, -1.4209870100021362, -1.420986294746399, -1.4009870290756226, -1.4009870290756226, -1.4209868907928467, -1.4209870100021362, -1.400987148284912, -1.4009870290756226, -1.4009870290756226, -2.229203462600708, -2.229203462600708, -2.2292001247406006, -2.2092037200927734, -2.2092037200927734, -2.2092037200927734, -2.2092039585113525, -2.2092041969299316, -2.2092041969299316, -2.2092039585113525, -2.2092041969299316, -2.2092044353485107, -2.2092041969299316, -2.2092039585113525, -2.2291982173919678, -2.229203224182129, -2.229203224182129, -2.229203224182129, -2.2092037200927734, -2.2092034816741943, -2.998155355453491, -2.9981558322906494, -2.9981558322906494, -2.998154878616333, -3.0181422233581543, -2.998156785964966, -2.9981555938720703, -2.9981555938720703, -2.998155355453491, -2.9981632232666016, -3.018153667449951, -3.018153667449951, -3.0181519985198975, -2.9981565475463867, -3.0181527137756348, -3.0181541442871094, -3.0181546211242676, -3.0181543827056885, -2.9981555938720703, -2.998155117034912]"
1,"[-1.4306044578552246, -1.3910642862319946, -1.4306039810180664, -1.4300508499145508, -1.4302493333816528, -1.4309805631637573, -1.4309219121932983, -1.4306936264038086, -1.430071473121643, -1.430484414100647, -1.4307262897491455, -1.4300251007080078, -1.4161405563354492, -1.3914132118225098, -1.3920671939849854, -1.4309682846069336, -1.4306361675262451, -1.3914631605148315, -1.3919216394424438, -1.391940951347351, -2.2331418991088867, -2.236790895462036, -2.238416910171509, -2.1995809078216553, -2.200462818145752, -2.2003891468048096, -2.202667236328125, -2.2056596279144287, -2.1996841430664062, -2.1994144916534424, -2.2010459899902344, -2.214543104171753, -2.213974952697754, -2.2127902507781982, -2.2232542037963867, -2.2324676513671875, -2.2335994243621826, -2.2292730808258057, -2.199495315551758, -2.201143264770508, -3.0042924880981445, -3.0035085678100586, -3.005507230758667, -2.990752935409546, -3.010734796524048, -3.0053374767303467, -2.990347146987915, -2.9899299144744873, -2.9991774559020996, -2.9906160831451416, -3.0258049964904785, -3.011859893798828, -3.0258848667144775, -2.99038028717041, -3.027937889099121, -3.0188300609588623, -3.027963876724243, -3.0260348320007324, -2.9882564544677734, -2.9884417057037354]"
1,"[-1.4320296049118042, -1.3813519477844238, -1.4370406866073608, -1.4371827840805054, -1.4383090734481812, -1.4400389194488525, -1.440602421760559, -1.43996262550354, -1.4384933710098267, -1.4398730993270874, -1.440556287765503, -1.4394900798797607, -1.4200117588043213, -1.382873296737671, -1.3831408023834229, -1.440122127532959, -1.4400889873504639, -1.3874882459640503, -1.3840610980987549, -1.383812665939331, -2.236902952194214, -2.2437520027160645, -2.2479665279388428, -2.191349744796753, -2.192201852798462, -2.192035436630249, -2.1960270404815674, -2.2030837535858154, -2.192025899887085, -2.191382646560669, -2.1933140754699707, -2.218703269958496, -2.21760892868042, -2.215515375137329, -2.221266508102417, -2.2359232902526855, -2.2375922203063965, -2.2291276454925537, -2.1906042098999023, -2.1937544345855713, -3.009889602661133, -3.0107035636901855, -3.0114269256591797, -2.992642641067505, -3.005047082901001, -3.011387825012207, -2.9832465648651123, -2.984607219696045, -3.0019640922546387, -2.9832890033721924, -3.031635046005249, -3.0057268142700195, -3.031144142150879, -2.9843356609344482, -3.0375237464904785, -3.0216476917266846, -3.037222146987915, -3.032853126525879, -2.978309392929077, -2.9796056747436523]"
2,"[-1.4348405599594116, -1.3733989000320435, -1.44225013256073, -1.441287875175476, -1.4446487426757812, -1.447840690612793, -1.4487988948822021, -1.4475916624069214, -1.4448645114898682, -1.448102593421936, -1.4501535892486572, -1.4486031532287598, -1.4203897714614868, -1.3739718198776245, -1.3739898204803467, -1.449309229850769, -1.4497216939926147, -1.3888239860534668, -1.376284122467041, -1.3754844665527344, -2.241645336151123, -2.250709295272827, -2.257633924484253, -2.1825597286224365, -2.1836013793945312, -2.1837656497955322, -2.1902196407318115, -2.201401472091675, -2.186386823654175, -2.185845375061035, -2.1922290325164795, -2.2235355377197266, -2.2202212810516357, -2.216193437576294, -2.216038942337036, -2.238635540008545, -2.241980791091919, -2.2290637493133545, -2.1816980838775635, -2.186124801635742, -3.0125370025634766, -3.017582416534424, -3.01271653175354, -2.99452543258667, -3.001786231994629, -3.0143990516662598, -2.9770781993865967, -2.9813809394836426, -3.004230260848999, -2.9766950607299805, -3.036055088043213, -2.99955677986145, -3.035503625869751, -2.979447603225708, -3.0462515354156494, -3.0248494148254395, -3.0459604263305664, -3.0383663177490234, -2.9683213233947754, -2.97110652923584]"
2,"[-1.4387238025665283, -1.3656365871429443, -1.4472967386245728, -1.4448684453964233, -1.449615240097046, -1.4540386199951172, -1.455712914466858, -1.4537893533706665, -1.4489072561264038, -1.4549766778945923, -1.4590017795562744, -1.4568921327590942, -1.419350028038025, -1.365304946899414, -1.3654162883758545, -1.4587430953979492, -1.459350347518921, -1.3907934427261353, -1.3687549829483032, -1.367331624031067, -2.2446107864379883, -2.2547171115875244, -2.263681650161743, -2.1733460426330566, -2.174513339996338, -2.1748998165130615, -2.1857450008392334, -2.205002784729004, -2.187699317932129, -2.180967330932617, -2.1908981800079346, -2.229957342147827, -2.2227439880371094, -2.2132651805877686, -2.2090258598327637, -2.2427659034729004, -2.2469701766967773, -2.2261617183685303, -2.1724202632904053, -2.1778862476348877, -3.018179416656494, -3.024982452392578, -3.0144519805908203, -3.00016188621521, -2.9966683387756348, -3.0204079151153564, -2.970174551010132, -2.9807138442993164, -2.9991564750671387, -2.979785919189453, -3.040198564529419, -2.997143030166626, -3.0366339683532715, -2.9757297039031982, -3.045654296875, -3.030576705932617, -3.05441951751709, -3.043271780014038, -2.9584083557128906, -2.962786912918091]"
2,"[-1.4411944150924683, -1.3573663234710693, -1.4514814615249634, -1.447934865951538, -1.4541828632354736, -1.4599106311798096, -1.4627238512039185, -1.4597450494766235, -1.4524379968643188, -1.461534023284912, -1.4677376747131348, -1.4652693271636963, -1.4193955659866333, -1.3569152355194092, -1.3568482398986816, -1.4680533409118652, -1.4688618183135986, -1.393614649772644, -1.3615325689315796, -1.3594871759414673, -2.247738838195801, -2.259293794631958, -2.270934581756592, -2.1641957759857178, -2.165717840194702, -2.1662161350250244, -2.1811821460723877, -2.2080957889556885, -2.1881487369537354, -2.1762773990631104, -2.1894032955169678, -2.235499620437622, -2.223620653152466, -2.2094922065734863, -2.202432632446289, -2.2484397888183594, -2.2531187534332275, -2.2243502140045166, -2.163036584854126, -2.169334888458252, -3.0223658084869385, -3.031522512435913, -3.0158679485321045, -3.0051283836364746, -2.991910219192505, -3.025911331176758, -2.9641873836517334, -2.979952096939087, -2.99469256401062, -2.982586145401001, -3.0437543392181396, -2.994843006134033, -3.037571430206299, -2.972346544265747, -3.0480165481567383, -3.0367186069488525, -3.0612144470214844, -3.0446126461029053, -2.948432445526123, -2.95565128326416]"
3,"[-1.4435871839523315, -1.3499369621276855, -1.4546456336975098, -1.4497997760772705, -1.4580057859420776, -1.4650837182998657, -1.4693862199783325, -1.465573787689209, -1.4558082818984985, -1.467854380607605, -1.4763565063476562, -1.4734139442443848, -1.4186919927597046, -1.3486562967300415, -1.3484845161437988, -1.4769549369812012, -1.4779939651489258, -1.397106409072876, -1.354719877243042, -1.3519585132598877, -2.2503631114959717, -2.2625279426574707, -2.273961067199707, -2.155858278274536, -2.1580071449279785, -2.1588008403778076, -2.178075075149536, -2.2102198600769043, -2.18887996673584, -2.172865152359009, -2.1873779296875, -2.2404913902282715, -2.224411725997925, -2.2056849002838135, -2.196678876876831, -2.254546642303467, -2.2596065998077393, -2.2216856479644775, -2.1535749435424805, -2.1608572006225586, -3.024916887283325, -3.038325786590576, -3.014829397201538, -3.010474681854248, -2.986571788787842, -3.0313711166381836, -2.9586541652679443, -2.977999448776245, -2.9910123348236084, -2.9844486713409424, -3.0463197231292725, -2.993393898010254, -3.0372214317321777, -2.970231056213379, -3.0496292114257812, -3.04292631149292, -3.0679750442504883, -3.0412914752960205, -2.9407851696014404, -2.9480950832366943]"
3,"[-1.4455146789550781, -1.3417506217956543, -1.4601550102233887, -1.452205777168274, -1.4571696519851685, -1.4673714637756348, -1.4705666303634644, -1.4686471223831177, -1.4600166082382202, -1.4745280742645264, -1.4844602346420288, -1.481026530265808, -1.4187124967575073, -1.3412829637527466, -1.340965747833252, -1.4853713512420654, -1.4864869117736816, -1.400708794593811, -1.3485695123672485, -1.3450971841812134, -2.2499032020568848, -2.261605739593506, -2.279534101486206, -2.1505985260009766, -2.1563870906829834, -2.1586179733276367, -2.17242693901062, -2.2111990451812744, -2.185027837753296, -2.1671130657196045, -2.1822562217712402, -2.245903253555298, -2.2282285690307617, -2.2062253952026367, -2.19964861869812, -2.2617526054382324, -2.266176700592041, -2.2195839881896973, -2.1438910961151123, -2.1536037921905518, -3.0294642448425293, -3.044733762741089, -3.0100111961364746, -3.0164198875427246, -2.980300188064575, -3.0378010272979736, -2.952207088470459, -2.9727911949157715, -2.9949660301208496, -2.9801762104034424, -3.050128698348999, -2.9882876873016357, -3.0415091514587402, -2.9716384410858154, -3.045987129211426, -3.0500593185424805, -3.0672097206115723, -3.036236524581909, -2.9345345497131348, -2.9402291774749756]"
3,"[-1.4474974870681763, -1.3333946466445923, -1.464076280593872, -1.453172206878662, -1.4565339088439941, -1.4701441526412964, -1.4729593992233276, -1.472759485244751, -1.464624047279358, -1.4813395738601685, -1.4930332899093628, -1.4892175197601318, -1.418866753578186, -1.3331671953201294, -1.3327525854110718, -1.4941574335098267, -1.4952131509780884, -1.406290054321289, -1.3415871858596802, -1.337345838546753, -2.2531449794769287, -2.2626659870147705, -2.286454439163208, -2.1445071697235107, -2.154775381088257, -2.157849073410034, -2.1692047119140625, -2.2135274410247803, -2.18319034576416, -2.161984920501709, -2.17734432220459, -2.2511394023895264, -2.2310984134674072, -2.2052290439605713, -2.2012486457824707, -2.2683498859405518, -2.2727959156036377, -2.2166707515716553, -2.134352445602417, -2.14626145362854, -3.032775402069092, -3.0501511096954346, -3.005235195159912, -3.021307945251465, -2.9750847816467285, -3.042975902557373, -2.9472713470458984, -2.96855092048645, -2.998331308364868, -2.976579427719116, -3.0536210536956787, -2.9835705757141113, -3.0453383922576904, -2.9727578163146973, -3.043173313140869, -3.057607412338257, -3.066037654876709, -3.031062126159668, -2.9274163246154785, -2.9333834648132324]"
4,"[-1.4487143754959106, -1.3260698318481445, -1.4679677486419678, -1.45290207862854, -1.4556965827941895, -1.4725457429885864, -1.4750672578811646, -1.4764713048934937, -1.4691969156265259, -1.487672209739685, -1.5009976625442505, -1.4967399835586548, -1.418951153755188, -1.3257712125778198, -1.3253138065338135, -1.5022542476654053, -1.5031890869140625, -1.4113656282424927, -1.3351972103118896, -1.3302547931671143, -2.2550790309906006, -2.26291561126709, -2.293133497238159, -2.1397764682769775, -2.1535143852233887, -2.1572041511535645, -2.1651840209960938, -2.213635206222534, -2.180598735809326, -2.157238245010376, -2.1721458435058594, -2.256627321243286, -2.233814001083374, -2.2031383514404297, -2.2012715339660645, -2.2747461795806885, -2.279022693634033, -2.2153263092041016, -2.125210762023926, -2.138763666152954, -3.033271074295044, -3.0547938346862793, -2.999647378921509, -3.0256268978118896, -2.9701428413391113, -3.047837495803833, -2.942721128463745, -2.9634604454040527, -3.001547336578369, -2.97335147857666, -3.057138442993164, -2.978616714477539, -3.0500969886779785, -2.9733664989471436, -3.0421736240386963, -3.0615439414978027, -3.0643744468688965, -3.026186943054199, -2.9201111793518066, -2.9275264739990234]"
